"","Nº Processo","Apelido","Classificação","Status","Classe do Processo","Data Inicial","Recebimento, triagem e conclusão do processo","Despacho para notificação do Requerido","Expedição de notificação","Cumprimento da notificação","Oferecimento de manifestação por escrito","Decisão rejeição da ação ou recebimento pet. inicial","Expedição de intimação e/ou citação","Cumprimento da intimação e/ou citação","Contestação e/ou agravo de instrumento","Ato ordinatório (Réplica)","Expedição de intimação","Cumprimento da intimação","Réplica","Ato ordinatório (Provas)","Expedição de intimação (Requerente)","Cumprimento  da intimação","Provas","Expedição de intimação (Requerido)","Cumprimento da intimação","Provas","Decisão saneamento","Expedição de intimação (Requerente)","Cumprimento da intimação","Pedido de esclarecimento ou solicitação de ajustes","Expedição de intimação (Requerido)","Cumprimento da intimação","Pedido de esclarecimento ou solicitação de ajustes","Prova pericial","Prova oral (audiência de instrução e julgamento)","Ato ordinário (Alegações finais)","Expedição de intimação (Requerente)","Cumprimento da intimação","Alegações finais","Expedição de intimação (Requerido)","Cumprimento da intimação","Alegações finais","Recebimento e conclusão do processo","Sentença"
"109","241XXX","Apelido119","Encerrado","Atrasado","Ação Popular","2019-01-01",0,0.1,1,3,14,39,3,4,14,1,5,6,13,4,1,5,3,5,10,7,14,2,6,3,2,10,3,100,59,2,1,4,17,5,4,14,3,39
"110","242XXX","Apelido120","Encerrado","Atrasado","Ação Popular","2019-07-20",0,4,0.1,2,17,27,3,7,14,2,2,7,12,0.1,4,9,10,5,3,4,13,5,8,6,4,4,4,108,62,0.1,0.1,7,16,2,10,15,0.1,32
"111","243XXX","Apelido121","Aberto","Atrasado","Ação Civil Coletiva","2019-04-27",0,1,5,2,17,30,0.1,4,11,4,5,7,13,1,3,3,10,2,7,10,10,3,8,9,4,10,5,113,62,5,3,9,11,5,10,13,0.1,51
"112","244XXX","Apelido122","Aberto","Atrasado","Ação Civil Coletiva","2019-05-18",3,4,3,6,16,25,2,7,19,3,4,9,10,5,5,9,6,5,8,6,12,1,10,4,3,4,5,88,62,1,2,10,19,2,3,18,2,51
"113","245XXX","Apelido123","Aberto","Atrasado","Ação Civil Coletiva","2019-05-22",4,4,1,6,19,35,2,5,10,5,1,7,12,1,0.1,5,9,1,9,8,13,2,10,8,1,10,9,82,69,4,2,7,17,3,9,20,4,69
"114","246XXX","Apelido124","Aberto","Atrasado","Ação Civil Coletiva","2020-04-26",4,3,5,7,11,27,3,5,12,5,1,5,19,2,0.1,7,10,4,5,10,11,2,9,5,0.1,9,8,86,56,5,0.1,6,10,4,5,20,4,66
"115","247XXX","Apelido125","Aberto","Atrasado","Ação Civil Coletiva","2019-05-12",3,4,1,3,12,29,3,3,10,4,2,6,10,0.1,0.1,8,9,0.1,5,9,12,1,10,7,1,10,7,96,65,5,2,5,20,4,7,10,1,62
"116","248XXX","Apelido126","Aberto","Atrasado","Ação Civil Coletiva","2019-04-11",5,5,4,3,18,40,4,3,10,3,3,9,14,1,0.1,4,6,3,4,5,13,4,4,8,5,3,5,93,57,3,5,10,11,2,6,12,4,54
"117","249XXX","Apelido127","Aberto","Atrasado","Ação Civil Coletiva","2019-12-02",2,3,1,2,18,34,4,6,14,5,3,7,11,0.1,4,9,8,3,6,5,12,2,5,3,5,7,9,93,64,0.1,3,4,19,3,4,20,1,66
"118","250XXX","Apelido128","Aberto","Atrasado","Ação Civil Coletiva","2019-05-19",5,4,2,5,16,33,1,6,13,5,4,7,13,2,0.1,9,9,2,9,3,14,3,4,3,5,3,7,106,55,4,5,9,10,1,9,17,3,51
"119","251XXX","Apelido129","Aberto","Atrasado","Ação Civil Coletiva","2019-08-16",4,3,4,6,16,40,2,7,10,3,2,4,13,5,4,5,7,1,9,9,9,3,7,4,5,10,5,103,60,1,0.1,10,17,4,8,10,5,51
"120","252XXX","Apelido130","Aberto","Atrasado","Ação Civil Coletiva","2019-01-26",4,3,1,3,13,36,1,4,20,1,2,9,11,1,1,4,9,5,9,9,9,2,8,5,0.1,6,6,87,60,4,5,3,14,1,7,13,1,58
"121","253XXX","Apelido131","Aberto","Atrasado","Ação Civil Coletiva","2019-02-06",2,0.1,0.1,5,15,34,0.1,2,12,3,3,10,18,3,5,7,8,2,10,6,12,2,3,5,4,6,8,112,66,1,4,5,15,3,6,14,2,60
"122","254XXX","Apelido132","Aberto","Atrasado","Ação Civil Coletiva","2019-04-25",1,5,4,3,18,33,0.1,6,15,3,5,4,15,2,5,10,5,5,7,10,10,3,5,9,0.1,10,3,93,63,5,3,6,13,4,9,15,4,51
"123","255XXX","Apelido133","Aberto","Atrasado","Ação Civil Coletiva","2019-06-28",0,0.1,2,3,19,28,2,3,12,2,4,3,17,5,3,3,7,3,7,8,8,0.1,6,5,5,9,3,105,70,2,3,8,18,5,7,16,0.1,67
"124","256XXX","Apelido134","Aberto","Atrasado","Ação Civil Coletiva","2019-05-01",2,1,2,4,16,25,2,6,17,4,2,7,16,3,1,4,3,1,3,8,13,3,5,10,2,8,10,91,70,5,0.1,3,14,5,10,10,1,62
"125","257XXX","Apelido135","Aberto","Atrasado","Ação Civil Coletiva","2020-04-14",0,2,5,4,19,39,4,6,17,4,4,10,14,2,1,9,5,3,4,6,9,2,5,8,0.1,3,5,116,70,4,2,6,18,0.1,10,19,5,51
"126","258XXX","Apelido136","Aberto","Atrasado","Ação Civil Coletiva","2019-01-29",2,3,0.1,7,14,31,5,4,13,3,2,8,13,0.1,2,7,3,3,5,10,8,5,6,7,3,6,5,86,67,3,1,5,12,1,5,19,1,51
"127","259XXX","Apelido137","Aberto","Atrasado","Ação Civil Coletiva","2019-09-30",3,4,4,4,14,26,3,5,20,4,5,7,10,0.1,1,8,9,4,5,5,8,4,4,10,1,3,7,100,56,3,3,5,18,4,6,12,5,65
"128","260XXX","Apelido138","Aberto","Atrasado","Ação Civil Coletiva","2019-05-01",0,4,5,7,10,29,3,4,12,2,4,9,12,4,2,3,4,3,5,3,9,3,9,10,3,5,7,105,60,5,2,4,19,2,6,10,3,67
"129","261XXX","Apelido139","Aberto","Atrasado","Ação Civil Coletiva","2019-02-04",4,1,5,6,11,31,4,6,14,3,5,4,17,1,1,9,4,4,8,4,10,0.1,7,6,1,10,5,114,61,3,1,5,18,3,10,14,5,58
"130","262XXX","Apelido140","Aberto","Atrasado","Ação Civil Coletiva","2019-01-10",0,1,0.1,2,12,36,2,7,18,4,3,5,10,2,0.1,8,7,2,3,4,14,2,5,3,2,10,7,84,64,5,1,6,10,0.1,6,20,4,69
"131","263XXX","Apelido141","Aberto","Atrasado","Ação Civil Coletiva","2019-02-17",2,3,5,7,14,30,0.1,7,14,3,4,4,11,1,0.1,8,8,4,4,4,15,3,6,9,5,5,5,106,60,4,2,6,17,2,9,11,5,64
"132","264XXX","Apelido142","Aberto","Atrasado","Ação Civil Coletiva","2020-04-14",3,0.1,5,3,12,32,1,7,17,5,2,10,16,0.1,4,6,3,0.1,7,7,8,1,7,3,0.1,6,5,108,70,2,0.1,6,12,1,6,16,1,51
"133","265XXX","Apelido143","Aberto","Atrasado","Ação Civil Coletiva","2020-03-16",0,0.1,3,5,10,33,0.1,6,19,2,1,10,11,1,5,5,9,1,9,8,8,2,8,4,1,3,10,111,61,5,5,6,16,0.1,5,18,3,51
"134","266XXX","Apelido144","Aberto","Atrasado","Ação Civil Coletiva","2019-02-19",2,2,5,7,13,40,5,4,10,4,4,5,13,0.1,0.1,3,3,0.1,8,7,8,1,5,6,2,5,9,97,59,2,3,3,16,4,7,17,5,57
"135","267XXX","Apelido145","Aberto","Atrasado","Ação Civil Coletiva","2019-10-02",3,5,3,4,15,32,2,7,20,5,4,5,17,3,4,7,3,1,3,7,15,1,7,8,3,10,7,106,65,4,2,8,19,4,6,18,1,63
"136","268XXX","Apelido146","Aberto","Atrasado","Ação Civil Coletiva","2019-04-30",5,3,2,4,15,30,2,6,15,1,3,10,18,2,0.1,3,9,0.1,10,6,11,4,7,8,5,5,8,92,55,1,3,4,15,4,10,10,1,65
"137","269XXX","Apelido147","Aberto","Atrasado","Ação Civil Coletiva","2019-05-31",4,0.1,1,5,19,36,5,3,11,5,2,6,16,3,4,9,8,3,9,5,8,3,3,6,4,7,6,95,70,4,1,4,12,5,7,17,1,66
"138","270XXX","Apelido148","Aberto","Atrasado","Ação Civil Coletiva","2019-07-12",1,2,5,2,20,27,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139","271XXX","Apelido149","Aberto","Atrasado","Ação Civil Coletiva","2019-01-15",5,1,3,4,10,34,5,7,17,2,3,5,16,0.1,4,7,10,2,3,8,8,5,3,6,5,3,7,87,69,4,5,10,14,1,3,18,3,51
"140","272XXX","Apelido150","Aberto","Atrasado","Ação Civil Coletiva","2020-04-20",1,3,5,4,11,32,2,4,18,5,3,3,17,3,4,9,3,2,6,7,14,0.1,9,7,1,9,5,116,55,4,5,8,10,4,6,19,3,51
"141","273XXX","Apelido151","Aberto","Atrasado","Ação Civil Coletiva","2019-06-01",2,4,1,7,14,36,3,6,14,4,2,8,17,3,4,8,10,4,9,7,15,0.1,6,8,5,9,5,101,60,5,3,7,15,5,10,16,5,69
"142","274XXX","Apelido152","Aberto","Atrasado","Ação Civil Coletiva","2019-08-11",2,4,2,2,11,39,4,4,10,5,4,3,17,4,2,10,3,0.1,6,8,14,5,10,7,1,4,6,116,67,5,2,3,11,1,4,19,1,54
"143","275XXX","Apelido153","Aberto","Atrasado","Ação Civil Coletiva","2020-01-01",1,4,5,4,14,33,5,3,14,2,5,8,16,1,2,10,10,4,5,3,13,0.1,7,4,2,7,10,99,67,0.1,5,9,16,0.1,9,19,3,64
"144","276XXX","Apelido154","Aberto","Atrasado","Ação Civil Coletiva","2019-08-28",0,4,0.1,4,10,37,0.1,5,18,5,2,10,11,3,1,8,7,3,9,4,12,2,4,9,4,10,5,116,68,5,4,3,11,5,8,19,1,51
"145","277XXX","Apelido155","Aberto","Atrasado","Ação Civil Coletiva","2020-02-01",0,3,3,7,19,37,1,5,16,5,1,4,17,0.1,0.1,3,7,5,4,10,8,3,3,7,5,9,10,100,65,2,3,3,18,5,9,20,0.1,51
"146","278XXX","Apelido156","Aberto","Atrasado","Ação Civil Coletiva","2019-11-24",5,2,5,4,10,32,0.1,6,18,5,4,5,19,5,5,4,5,4,7,6,13,0.1,5,10,0.1,8,3,95,57,0.1,5,7,15,0.1,8,15,2,64
"147","279XXX","Apelido157","Aberto","Atrasado","Ação Civil Coletiva","2019-10-03",1,0.1,1,7,14,29,5,5,16,4,1,7,20,1,3,4,4,2,5,4,11,0.1,5,9,0.1,4,6,103,69,2,0.1,5,14,0.1,5,14,5,63
"148","280XXX","Apelido158","Aberto","Atrasado","Ação Civil Coletiva","2019-10-17",0,5,3,5,16,36,0.1,7,12,2,2,6,18,2,5,4,6,4,7,3,9,3,10,10,0.1,4,6,104,68,0.1,2,8,12,2,4,14,0.1,51
"149","281XXX","Apelido159","Aberto","Atrasado","Ação Civil Coletiva","2019-04-02",4,4,0.1,5,20,34,2,2,19,3,3,10,11,5,2,8,10,3,3,4,8,1,10,4,5,4,8,105,64,1,5,9,19,4,10,19,3,51
"150","282XXX","Apelido160","Aberto","Atrasado","Ação Civil Coletiva","2019-09-03",5,2,3,6,19,39,2,4,11,4,4,6,18,3,0.1,10,9,2,9,9,11,1,6,7,2,5,7,100,65,4,3,5,15,5,10,11,5,55
"151","283XXX","Apelido161","Encerrado","Alerta","Ação Civil Coletiva","2019-03-31",5,5,3,6,15,27,4,4,16,4,5,6,11,1,5,8,5,2,9,8,13,4,6,7,1,8,3,112,59,1,4,5,20,2,9,19,1,26
"152","284XXX","Apelido162","Encerrado","Alerta","Ação Civil Coletiva","2019-11-10",4,5,0.1,4,18,36,1,7,14,1,1,9,10,2,1,5,9,0.1,6,8,13,4,5,7,5,5,3,100,60,4,0.1,3,15,5,6,19,2,25
"153","285XXX","Apelido163","Encerrado","Atrasado","Ação Civil Coletiva","2019-09-02",4,0.1,3,2,18,36,2,3,16,5,2,7,17,5,3,10,6,4,3,3,14,1,5,8,2,3,4,115,59,2,2,5,16,0.1,10,19,3,32
"154","286XXX","Apelido164","Encerrado","Ok","Ação Civil Coletiva","2019-06-05",2,3,5,5,10,35,3,2,10,1,3,9,19,3,1,9,3,1,8,4,10,2,6,4,2,6,5,105,59,0.1,0.1,9,14,2,5,20,1,22
"155","287XXX","Apelido165","Encerrado","Ok","Ação Civil Coletiva","2019-11-14",4,5,0.1,4,19,25,2,5,17,3,1,10,10,1,4,10,3,2,9,8,10,2,5,3,2,10,9,115,64,1,4,9,16,5,5,19,5,22
"156","288XXX","Apelido166","Encerrado","Ok","Ação Civil Coletiva","2019-04-30",5,5,5,4,15,33,5,3,18,4,5,8,14,5,4,10,6,4,4,3,8,3,5,10,3,5,9,115,68,0.1,2,8,14,0.1,9,20,4,22
"157","289XXX","Apelido167","Encerrado","Atrasado","Ação Civil Coletiva","2020-04-05",0,5,4,5,10,27,1,6,15,4,4,9,15,5,3,6,8,2,9,10,13,5,8,4,0.1,4,9,91,68,5,2,10,16,0.1,7,12,4,32
"158","290XXX","Apelido168","Encerrado","Alerta","Ação Civil Coletiva","2019-04-09",3,1,3,2,11,35,2,5,17,5,3,9,13,5,1,3,9,2,6,9,14,0.1,4,4,3,8,3,84,55,1,3,6,16,3,10,11,5,28
"159","291XXX","Apelido169","Encerrado","Atrasado","Ação Civil Coletiva","2020-04-14",1,0.1,0.1,7,15,29,0.1,7,19,3,2,5,17,4,2,9,10,0.1,6,7,14,5,4,9,4,4,4,91,66,0.1,3,8,20,1,9,13,1,39
"160","292XXX","Apelido170","Encerrado","Atrasado","Ação Civil Coletiva","2019-10-05",1,3,5,5,19,33,1,7,14,2,5,10,11,2,2,10,10,4,7,3,14,0.1,6,3,4,5,9,106,60,1,2,3,19,0.1,10,18,2,33
"161","293XXX","Apelido171","Encerrado","Ok","Ação Civil Coletiva","2019-04-13",2,5,1,3,10,35,2,5,19,5,5,6,17,0.1,2,7,6,3,6,4,12,2,8,5,1,6,6,84,60,0.1,1,7,10,0.1,8,16,1,22
"162","294XXX","Apelido172","Encerrado","Ok","Ação Civil Coletiva","2019-05-04",4,3,2,7,11,36,3,3,11,1,4,5,14,5,0.1,9,4,0.1,5,6,11,1,4,3,4,8,5,86,66,2,0.1,9,20,0.1,9,19,0.1,22
"163","295XXX","Apelido173","Encerrado","Atrasado","Ação Civil Coletiva","2019-04-26",4,3,5,5,15,32,1,7,20,1,3,4,13,2,1,4,6,0.1,7,7,15,1,10,9,5,8,9,113,57,0.1,0.1,4,20,3,5,16,5,39
"164","296XXX","Apelido174","Encerrado","Atrasado","Ação Civil Coletiva","2019-03-10",5,1,2,2,20,28,1,3,18,2,1,9,20,5,5,5,6,5,8,5,9,0.1,4,8,3,5,3,114,69,5,1,10,11,1,10,20,4,35
"165","297XXX","Apelido175","Encerrado","Alerta","Ação Civil Coletiva","2019-09-21",4,1,2,5,14,31,2,5,18,3,5,10,11,2,1,7,10,3,3,7,12,4,10,6,0.1,9,10,116,57,0.1,4,8,20,5,8,15,1,28
"166","298XXX","Apelido176","Encerrado","Atrasado","Ação Civil Coletiva","2019-01-01",1,1,5,2,10,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167","299XXX","Apelido177","Encerrado","Ok","Ação Civil Coletiva","2019-11-05",3,3,3,7,20,28,5,4,18,2,5,10,11,2,2,6,5,4,6,7,10,3,6,8,3,5,4,115,57,4,0.1,10,10,0.1,4,15,4,22
"168","300XXX","Apelido178","Encerrado","Ok","Ação Civil Coletiva","2019-11-28",5,1,4,4,15,39,1,6,17,1,5,3,15,3,5,5,8,1,7,9,8,4,5,6,3,3,4,89,61,0.1,1,4,11,5,5,12,3,22
"169","301XXX","Apelido179","Encerrado","Alerta","Ação Civil Coletiva","2019-09-18",4,4,2,4,19,40,3,6,15,5,2,4,18,1,4,5,8,5,6,5,14,0.1,10,3,0.1,5,3,90,65,0.1,0.1,6,20,1,10,11,5,25
"170","302XXX","Apelido180","Encerrado","Ok","Ação Civil Coletiva","2019-10-04",2,3,2,6,13,27,3,2,12,5,2,4,17,0.1,5,7,9,3,8,7,10,5,3,9,4,5,3,88,59,5,4,6,12,5,3,20,0.1,22
"171","ola","ola","Aberto","Atrasado","Ação Civil Coletiva","2020-03-15",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172","teste","teste","Aberto","Atrasado","Ação Civil Coletiva","2020-03-15",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
