"","N_Processo","Tipo_Movimentação","Data","Tempo","Censura"
"20429",1.0132613920174e+19,"Conclusão-Petição","2018-06-11",28,0
"20434",1.0132613920174e+19,"Decurso de Prazo","2019-07-31",124,1
"20438",1.0131756820174e+19,"Conclusão-Mudança de Classe Processual","2017-09-29",0,0
"20445",1.0131756820174e+19,"Conclusão-Remessa","2017-10-03",0,0
"20452",1.0131756820174e+19,"Conclusão-Petição","2018-04-27",5,0
"20457",1.0131756820174e+19,"Conclusão-Remessa","2019-02-21",3,0
"20466",1.0131756820174e+19,"Conclusão-Juntada","2019-08-26",10,0
"20473",1.0131756820174e+19,"Decurso de Prazo","2019-10-22",41,1
"20476",1.0087847020174e+19,"Conclusão-Recebimento","2017-08-04",2,0
"20486",1.0087847020174e+19,"Conclusão-Petição","2018-06-14",9,0
"20497",1.0087847020174e+19,"Conclusão-Juntada","2019-04-08",0,0
"20502",1.0087847020174e+19,"Decurso de Prazo","2019-10-22",41,1
"20507",1.0132431820174e+19,"Conclusão-Remessa","2017-10-03",1,0
"20524",1.0132431820174e+19,"Conclusão","2019-05-27",189,1
"20531",1.0072040520174e+19,"Conclusão-Remessa","2017-08-07",0,0
"20534",1.0072040520174e+19,"Conclusão-Redistribuição","2017-08-10",1,0
"20542",1.0072040520174e+19,"Conclusão-Petição","2018-02-23",137,0
"20555",1.0072040520174e+19,"Decurso de Prazo","2019-08-05",119,1
"20561",1.0130690920174e+19,"Conclusão-Remessa","2017-09-28",0,0
"20566",1.0130690920174e+19,"Conclusão-Remessa","2017-10-04",0,0
"20571",1.0130690920174e+19,"Conclusão-Petição","2018-04-17",7,0
"20576",1.0130690920174e+19,"Conclusão-Decurso de Prazo","2018-08-15",20,0
"20585",1.0130690920174e+19,"Petição","2019-06-10",175,1
"20590",1.0131159520174e+19,"Conclusão-Remessa","2017-09-29",1,0
"20597",1.0131159520174e+19,"Conclusão-Petição","2018-06-14",30,0
"20604",1.0131159520174e+19,"Conclusão-Decurso de Prazo","2019-04-08",172,0
"20610",1.0131159520174e+19,"Decurso de Prazo","2019-10-19",44,1
"20615",1.0131124320174e+19,"Conclusão-Remessa","2017-10-20",22,0
"20619",1.0131124320174e+19,"Conclusão-Redistribuição","2017-11-08",9,0
"20625",1.0131124320174e+19,"Conclusão-Petição","2018-04-17",49,0
"20636",1.0131124320174e+19,"Petição","2019-07-11",144,1
"20638",1.0056356620174e+19,"Conclusão-Distribuição","2017-06-20",1,0
"20646",1.0056356620174e+19,"Conclusão-Juntada","2018-10-08",0,0
"20652",1.0056356620174e+19,"Conclusão-Decurso de Prazo","2019-06-12",62,0
"20654",1.0056356620174e+19,"Conclusão-Não-Acolhimento de Embargos de Declaração","2019-06-14",0,0
"20658",1.0056356620174e+19,"Decurso de Prazo","2019-09-28",65,1
"20663",1.0131237220174e+19,"Conclusão-Remessa","2017-10-04",6,0
"20667",1.0131237220174e+19,"Conclusão-Remessa","2017-10-24",0,0
"20674",1.0131237220174e+19,"Conclusão-Petição","2018-06-13",21,0
"20684",1.0131237220174e+19,"Petição","2019-07-01",154,1
"20690",1.0133843720174e+19,"Conclusão-Documento","2017-10-04",0,0
"20696",1.0133843720174e+19,"Conclusão-Documento","2017-11-21",0,0
"20703",1.0133843720174e+19,"Redistribuição","2018-02-19",651,1
"20706",1.0130994420174e+19,"Conclusão-Recebimento","2017-09-27",0,0
"20712",1.0130994420174e+19,"Conclusão-Mudança de Classe Processual","2017-09-28",1,0
"20718",1.0130994420174e+19,"Conclusão-Petição","2018-06-13",21,0
"20728",1.0130994420174e+19,"Petição","2019-07-01",154,1
"20734",1.0133202720174e+19,"Conclusão-Remessa","2017-10-05",0,0
"20740",1.0133202720174e+19,"Conclusão-Petição","2018-05-03",6,0
"20749",1.0133202720174e+19,"Petição","2019-06-10",175,1
"20754",1.0114686520174e+19,"Conclusão-Remessa","2017-09-05",1,0
"20759",1.0114686520174e+19,"Conclusão-Petição","2017-10-31",1,0
"20783",1.0114686520174e+19,"Conclusão","2019-05-27",189,1
"20785",1.0058028320174e+19,"Conclusão-Distribuição","2017-06-21",0,0
"20790",1.0058028320174e+19,"Conclusão-Petição","2017-07-05",1,0
"20798",1.0058028320174e+19,"Conclusão-Decurso de Prazo","2018-04-05",10,0
"20808",1.0058028320174e+19,"Decurso de Prazo","2019-07-07",148,1
"20813",1.0131314920174e+19,"Conclusão-Remessa","2017-09-29",1,0
"20817",1.0131314920174e+19,"Conclusão-Petição","2017-10-25",2,0
"20835",1.0131314920174e+19,"Conclusão-Petição","2018-10-26",1,0
"20839",1.0131314920174e+19,"Decurso de Prazo","2019-10-08",55,1
"20847",1.0133688320174e+19,"Conclusão-Remessa","2017-10-05",0,0
"20853",1.0133688320174e+19,"Conclusão-Petição","2018-04-27",5,0
"20861",1.0133688320174e+19,"Conclusão-Juntada","2018-10-03",14,0
"20875",1.0133688320174e+19,"Conclusão","2019-10-29",34,1
"20881",1.0131254220174e+19,"Conclusão-Remessa","2017-09-29",1,0
"20885",1.0131254220174e+19,"Conclusão-Petição","2017-11-24",51,0
"20895",1.0131254220174e+19,"Conclusão-Petição","2018-08-15",1,0
"20903",1.0131254220174e+19,"Conclusão","2019-07-11",144,1
"20909",1.0131782320174e+19,"Conclusão-Remessa","2017-09-29",0,0
"20913",1.0131782320174e+19,"Conclusão-Redistribuição","2017-10-03",1,0
"20920",1.0131782320174e+19,"Conclusão-Petição","2018-04-27",5,0
"20934",1.0131782320174e+19,"Conclusão","2019-10-29",34,1
"20939",1.0133990620174e+19,"Conclusão-Remessa","2017-10-06",2,0
"20946",1.0133990620174e+19,"Conclusão-Documento","2018-10-26",44,0
"20964",1.0133990620174e+19,"Conclusão-Decurso de Prazo","2019-04-23",11,0
"20968",1.0133990620174e+19,"Conclusão-Decurso de Prazo","2019-10-30",82,0
"20969",1.0133990620174e+19,"Mero expediente","2019-10-30",33,1
"20975",1.0136277820174e+19,"Conclusão-Remessa","2017-10-06",0,0
"20978",1.0136277820174e+19,"Conclusão-Redistribuição","2017-12-05",1,0
"20984",1.0136277820174e+19,"Conclusão-Petição","2018-02-23",0,0
"20994",1.0136277820174e+19,"Conclusão-Petição","2018-11-12",0,0
"21001",1.0136277820174e+19,"Conclusão-Decurso de Prazo","2019-04-02",6,0
"21004",1.0136277820174e+19,"Ato ordinatorio","2019-09-09",84,1
"21009",1.0101037320174e+19,"Conclusão-Remessa","2017-10-02",45,0
"21014",1.0101037320174e+19,"Conclusão-Remessa","2017-10-03",0,0
"21021",1.0101037320174e+19,"Conclusão-Petição","2018-05-11",1,0
"21031",1.0101037320174e+19,"Conclusão-Petição","2019-04-25",0,0
"21034",1.0101037320174e+19,"Conclusão","2019-10-29",34,1
"21040",1.0134371820174e+19,"Conclusão-Mero expediente","2017-10-05",0,0
"21045",1.0134371820174e+19,"Conclusão-Petição","2018-03-22",5,0
"21059",1.0134371820174e+19,"Petição","2019-09-09",84,1
"21065",1.0133055820174e+19,"Conclusão-Mero expediente","2017-10-05",0,0
"21069",1.0133055820174e+19,"Conclusão-Petição","2017-11-17",1,0
"21077",1.0133055820174e+19,"Conclusão-Decurso de Prazo","2018-04-05",15,0
"21082",1.0133055820174e+19,"Petição","2018-09-18",440,1
"21088",1.0131809020174e+19,"Conclusão-Remessa","2017-10-02",3,0
"21093",1.0131809020174e+19,"Conclusão-Mero expediente","2017-10-05",0,0
"21098",1.0131809020174e+19,"Conclusão-Petição","2018-04-27",5,0
"21112",1.0131809020174e+19,"Conclusão","2019-10-29",34,1
"21118",1.0134441020174e+19,"Conclusão-Remessa","2017-10-04",0,0
"21123",1.0134441020174e+19,"Conclusão-Remessa","2017-10-05",0,0
"21129",1.0134441020174e+19,"Conclusão-Petição","2018-04-27",5,0
"21143",1.0134441020174e+19,"Conclusão","2019-10-29",34,1
"21145",1.0008081220174e+19,"Conclusão-Documento","2017-02-08",0,0
"21153",1.0008081220174e+19,"Conclusão-Documento","2017-04-17",12,0
"21160",1.0008081220174e+19,"Conclusão-Documento","2017-06-27",0,0
"21164",1.0008081220174e+19,"Conclusão-Petição","2017-07-24",5,0
"21173",1.0008081220174e+19,"Conclusão-Documento","2018-01-16",0,0
"21178",1.0008081220174e+19,"Conclusão-Decurso de Prazo","2018-03-07",3,0
"21183",1.0008081220174e+19,"Conclusão-Petição","2018-08-15",51,0
"21187",1.0008081220174e+19,"Decurso de Prazo","2019-08-24",100,1
"21190",1.0028171020184e+19,"Conclusão-Recebimento","2018-03-09",29,0
"21203",1.0028171020184e+19,"Conclusão","2019-05-27",189,1
"21208",1.0048697620184e+19,"Conclusão-Remessa","2018-03-12",0,0
"21217",1.0048697620184e+19,"Conclusão-Decurso de Prazo","2018-06-18",67,0
"21226",1.0048697620184e+19,"Conclusão-Juntada","2019-05-27",0,0
"21235",1.0048697620184e+19,"Decurso de Prazo","2019-09-03",90,1
"21238",1.0028936820174e+19,"Conclusão-Documento","2017-05-12",0,0
"21243",1.0028936820174e+19,"Conclusão-Mandado","2017-05-29",10,0
"21251",1.0028936820174e+19,"Conclusão-Expedição de documento","2018-03-14",1,0
"21259",1.0028936820174e+19,"Conclusão-Petição","2018-06-14",10,0
"21262",1.0028936820174e+19,"Conclusão-Ato ordinatorio","2019-02-05",0,0
"21270",1.0028936820174e+19,"Petição","2019-10-21",42,1
"21273",1.0027793220174e+19,"Conclusão-Documento","2017-05-05",0,0
"21279",1.0027793220174e+19,"Conclusão-Petição","2017-05-19",1,0
"21285",1.0027793220174e+19,"Conclusão-Petição","2017-05-24",0,0
"21293",1.0027793220174e+19,"Conclusão-Documento","2017-06-23",0,0
"21313",1.0027793220174e+19,"Conclusão-Petição","2018-03-27",1,0
"21321",1.0027793220174e+19,"Conclusão-Mandado","2018-04-19",3,0
"21335",1.0027793220174e+19,"Decurso de Prazo","2019-10-25",38,1
"21341",1.0178498920174e+19,"Conclusão-Remessa","2018-03-07",79,0
"21344",1.0178498920174e+19,"Conclusão-Redistribuição","2018-03-14",1,0
"21350",1.0178498920174e+19,"Conclusão-Petição","2018-09-03",1,0
"21362",1.0178498920174e+19,"Conclusão","2019-10-29",34,1
"21364",1.0056650420174e+19,"Conclusão-Distribuição","2017-06-20",1,0
"21373",1.0056650420174e+19,"Conclusão-Decurso de Prazo","2018-08-21",110,0
"21374",1.0056650420174e+19,"Conclusão-Conclusão","2019-05-06",110,0
"21376",1.0056650420174e+19,"Ato ordinatorio","2019-05-06",210,1
"21382",1.0023251820184e+19,"Conclusão-Mudança de Classe Processual","2018-03-08",20,0
"21385",1.0023251820184e+19,"Conclusão-Redistribuição","2018-03-14",1,0
"21391",1.0023251820184e+19,"Conclusão-Petição","2018-09-03",1,0
"21397",1.0023251820184e+19,"Conclusão-Remessa","2019-02-14",72,0
"21405",1.0023251820184e+19,"Conclusão-Perempção, litispendência ou coisa julgada","2019-06-12",51,0
"21415",1.0023251820184e+19,"Conclusão-Petição","2019-08-26",5,0
"21421",1.0023251820184e+19,"Petição","2019-10-30",33,1
"21427",1.0178082520174e+19,"Conclusão-Remessa","2018-03-07",84,0
"21431",1.0178082520174e+19,"Conclusão-Documento","2018-03-13",1,0
"21436",1.0178082520174e+19,"Conclusão-Expedição de documento","2018-08-27",12,0
"21439",1.0178082520174e+19,"Conclusão-Mero expediente","2019-02-14",83,0
"21448",1.0178082520174e+19,"Conclusão-Juntada","2019-08-26",10,0
"21454",1.0178082520174e+19,"Petição","2019-10-29",34,1
"21461",1.0160215820174e+19,"Conclusão-Documento","2017-12-01",0,0
"21466",1.0160215820174e+19,"Conclusão-Redistribuição","2017-12-11",4,0
"21472",1.0160215820174e+19,"Conclusão-Petição","2018-03-13",1,0
"21484",1.0160215820174e+19,"Petição","2019-07-01",154,1
"21489",1.0048836020184e+19,"Conclusão-Remessa","2018-03-15",0,0
"21501",1.0048836020184e+19,"Conclusão-Juntada","2019-05-27",0,0
"21504",1.0048836020184e+19,"Decurso de Prazo","2019-08-23",101,1
"21510",1.0022689720184e+19,"Conclusão-Remessa","2018-02-08",1,0
"21531",1.0022689720184e+19,"Conclusão","2019-05-27",189,1
"21537",1.0155028320174e+19,"Conclusão-Remessa","2017-12-07",6,0
"21541",1.0155028320174e+19,"Conclusão-Remessa","2017-12-11",0,0
"21548",1.0155028320174e+19,"Conclusão-Petição","2018-05-03",10,0
"21559",1.0155028320174e+19,"Conclusão","2019-10-29",34,1
"21565",1.0026586720184e+19,"Conclusão-Remessa","2018-03-07",0,0
"21568",1.0026586720184e+19,"Conclusão-Redistribuição","2018-03-14",0,0
"21574",1.0026586720184e+19,"Conclusão-Petição","2019-02-06",54,0
"21579",1.0026586720184e+19,"Conclusão-Petição","2019-10-29",71,0
"21580",1.0026586720184e+19,"Mero expediente","2019-10-29",34,1
"21586",1.0173129320174e+19,"Conclusão-Remessa","2017-12-01",0,0
"21592",1.0173129320174e+19,"Conclusão-Redistribuição","2017-12-11",4,0
"21599",1.0173129320174e+19,"Conclusão-Petição","2018-06-11",28,0
"21604",1.0173129320174e+19,"Conclusão-Remessa","2019-02-21",3,0
"21612",1.0173129320174e+19,"Conclusão-Juntada","2019-08-26",10,0
"21620",1.0173129320174e+19,"Petição","2019-09-20",73,1
"21625",1.0026672920184e+19,"Conclusão-Remessa","2018-02-08",1,0
"21648",1.0026672920184e+19,"Conclusão-Decurso de Prazo","2018-06-18",16,0
"21662",1.0026672920184e+19,"Conclusão-Juntada","2019-05-27",0,0
"21665",1.0026672920184e+19,"Petição","2019-10-04",59,1
"21670",1.0182230820174e+19,"Conclusão-Remessa","2017-12-14",1,0
"21681",1.0182230820174e+19,"Conclusão-Decurso de Prazo","2018-06-19",60,0
"21687",1.0182230820174e+19,"Conclusão-Decurso de Prazo","2019-05-03",61,0
"21694",1.0182230820174e+19,"Decurso de Prazo","2019-10-15",48,1
"21700",1.0158544120174e+19,"Conclusão-Remessa","2017-12-04",0,0
"21703",1.0158544120174e+19,"Conclusão-Redistribuição","2017-12-13",2,0
"21709",1.0158544120174e+19,"Conclusão-Decurso de Prazo","2018-03-14",0,0
"21718",1.0158544120174e+19,"Decurso de Prazo","2019-06-17",168,1
"21723",1.0137654520174e+19,"Conclusão-Remessa","2017-10-10",0,0
"21726",1.0137654520174e+19,"Conclusão-Expedição de documento","2017-10-19",8,0
"21731",1.0137654520174e+19,"Conclusão-Decurso de Prazo","2018-02-08",9,0
"21735",1.0137654520174e+19,"Conclusão-Decurso de Prazo","2018-03-14",0,0
"21743",1.0137654520174e+19,"Conclusão-Decurso de Prazo","2018-06-21",56,0
"21748",1.0137654520174e+19,"Petição","2019-11-01",31,1
"21750",1.0038454720174e+19,"Conclusão-Distribuição","2017-06-02",0,0
"21756",1.0038454720174e+19,"Conclusão-Decurso de Prazo","2018-03-14",0,0
"21766",1.0038454720174e+19,"Petição","2019-06-13",172,1
"21771",1.0196105820174e+19,"Conclusão-Remessa","2018-01-11",1,0
"21779",1.0196105820174e+19,"Conclusão-Petição","2018-06-21",7,0
"21785",1.0196105820174e+19,"Conclusão-Decurso de Prazo","2018-11-13",3,0
"21788",1.0196105820174e+19,"Conclusão-Ato ordinatorio","2018-11-23",0,0
"21795",1.0196105820174e+19,"Decurso de Prazo","2019-07-04",151,1
"21797",1.0054104620174e+19,"Conclusão-Distribuição","2017-06-14",0,0
"21801",1.0054104620174e+19,"Conclusão-Petição","2017-07-10",0,0
"21807",1.0054104620174e+19,"Conclusão-Decurso de Prazo","2018-03-14",0,0
"21817",1.0054104620174e+19,"Petição","2019-09-11",82,1
"21823",1.0035438120184e+19,"Conclusão-Documento","2018-02-26",0,0
"21830",1.0035438120184e+19,"Conclusão-Remessa","2018-03-14",0,0
"21841",1.0035438120184e+19,"Conclusão-Petição","2018-08-28",0,0
"21848",1.0035438120184e+19,"Conclusão","2019-04-22",224,1
"21851",1.0051052820184e+19,"Conclusão-Recebimento","2018-03-14",0,0
"21869",1.0051052820184e+19,"Conclusão-Decurso de Prazo","2018-08-23",29,0
"21898",1.0051052820184e+19,"Conclusão-Juntada","2019-05-16",0,0
"21905",1.0051052820184e+19,"Expedição de documento","2019-10-16",47,1
"21908",1.0046757620184e+19,"Conclusão-Recebimento","2018-03-08",1,0
"21919",1.0046757620184e+19,"Conclusão-Decurso de Prazo","2019-05-27",238,0
"21926",1.0046757620184e+19,"Decurso de Prazo","2019-08-23",101,1
"21931",1.0004155320184e+19,"Conclusão-Remessa","2018-01-10",0,0
"21944",1.0004155320184e+19,"Conclusão-Petição","2018-03-14",0,0
"21956",1.0004155320184e+19,"Conclusão-Documento","2019-01-08",174,0
"21962",1.0004155320184e+19,"Decurso de Prazo","2019-08-29",95,1
"21967",1.0027946420184e+19,"Conclusão-Remessa","2018-02-08",0,0
"21971",1.0027946420184e+19,"Conclusão-Petição","2018-02-26",0,0
"21978",1.0027946420184e+19,"Conclusão-Decurso de Prazo","2018-05-02",0,0
"21988",1.0027946420184e+19,"Conclusão-Juntada","2019-05-27",0,0
"21993",1.0027946420184e+19,"Decurso de Prazo","2019-10-29",34,1
"21998",1.0003107620184e+19,"Conclusão-Remessa","2018-01-22",0,0
"22015",1.0003107620184e+19,"Conclusão-Expedição de documento","2018-04-20",0,0
"22026",1.0003107620184e+19,"Conclusão-Petição","2018-06-11",40,0
"22051",1.0003107620184e+19,"Decurso de Prazo","2019-08-23",101,1
"22054",1.0169656020174e+19,"Conclusão-Recebimento","2017-11-27",1,0
"22060",1.0169656020174e+19,"Conclusão-Decurso de Prazo","2018-01-23",0,0
"22070",1.0169656020174e+19,"Conclusão-Expedição de documento","2018-06-27",61,0
"22081",1.0169656020174e+19,"Conclusão-Juntada","2019-05-27",0,0
"22087",1.0169656020174e+19,"Decurso de Prazo","2019-10-16",47,1
"22093",1.0061942320174e+19,"Conclusão-Documento","2017-07-11",0,0
"22103",1.0061942320174e+19,"Conclusão-Decurso de Prazo","2018-06-18",64,0
"22111",1.0061942320174e+19,"Decurso de Prazo","2019-08-24",100,1
"22116",1.0060695520174e+19,"Conclusão-Remessa","2017-07-03",0,0
"22122",1.0060695520174e+19,"Conclusão-Petição","2018-02-28",0,0
"22127",1.0060695520174e+19,"Conclusão-Documento","2018-08-08",29,0
"22131",1.0060695520174e+19,"Conclusão","2019-05-27",189,1
"22134",1.0019614620184e+19,"Conclusão-Recebimento","2018-02-08",9,0
"22141",1.0019614620184e+19,"Conclusão-Expedição de documento","2018-03-14",0,0
"22147",1.0019614620184e+19,"Conclusão-Petição","2018-08-24",25,0
"22157",1.0019614620184e+19,"Conclusão-Decurso de Prazo","2018-10-22",8,0
"22160",1.0019614620184e+19,"Suspensão ou Sobrestamento","2018-11-22",375,1
"22165",1.0027738820184e+19,"Conclusão-Remessa","2018-03-06",0,0
"22169",1.0027738820184e+19,"Conclusão-Redistribuição","2018-03-14",0,0
"22175",1.0027738820184e+19,"Conclusão-Petição","2019-02-06",54,0
"22183",1.0027738820184e+19,"Conclusão-Documento","2019-08-26",10,0
"22190",1.0027738820184e+19,"Petição","2019-09-23",70,1
"22196",1.0088695620174e+19,"Conclusão-Petição","2017-08-04",0,0
"22198",1.0088695620174e+19,"Conclusão-Mero expediente","2017-08-07",3,0
"22203",1.0088695620174e+19,"Conclusão-Petição","2017-10-16",60,0
"22204",1.0088695620174e+19,"Conclusão-Conclusão","2017-10-24",60,0
"22209",1.0088695620174e+19,"Suspensão ou Sobrestamento","2018-03-14",628,1
"22215",1.0048480320184e+19,"Conclusão-Remessa","2018-03-12",0,0
"22239",1.0048480320184e+19,"Conclusão-Juntada","2019-05-27",0,0
"22244",1.0048480320184e+19,"Decurso de Prazo","2019-10-29",34,1
"22247",1.0027868720184e+19,"Conclusão-Recebimento","2018-02-20",12,0
"22253",1.0027868720184e+19,"Conclusão-Redistribuição","2018-03-14",0,0
"22259",1.0027868720184e+19,"Conclusão-Petição","2018-10-23",0,0
"22274",1.0027868720184e+19,"Conclusão","2019-10-29",34,1
"22275",1.0010596420164e+19,"Conclusão-Conclusão","2016-02-04",34,0
"22285",1.0010596420164e+19,"Conclusão-Petição","2017-05-23",0,0
"22290",1.0010596420164e+19,"Suspensão ou Sobrestamento","2018-03-14",628,1
"22296",1.0186336620174e+19,"Conclusão-Remessa","2018-03-08",38,0
"22299",1.0186336620174e+19,"Conclusão-Redistribuição","2018-03-14",1,0
"22305",1.0186336620174e+19,"Conclusão-Petição","2018-09-03",1,0
"22321",1.0186336620174e+19,"Conclusão","2019-10-29",34,1
"22326",1.0026509020184e+19,"Conclusão-Remessa","2018-03-08",6,0
"22329",1.0026509020184e+19,"Conclusão-Redistribuição","2018-03-20",4,0
"22336",1.0026509020184e+19,"Conclusão-Petição","2018-10-04",3,0
"22350",1.0026509020184e+19,"Conclusão","2019-10-29",34,1
"22353",1.0038832520184e+19,"Conclusão-Recebimento","2018-02-26",1,0
"22363",1.0038832520184e+19,"Conclusão-Expedição de documento","2018-03-08",0,0
"22365",1.0038832520184e+19,"Conclusão-Expedição de documento","2018-03-08",0,0
"22373",1.0038832520184e+19,"Conclusão-Documento","2018-04-05",9,0
"22382",1.0038832520184e+19,"Conclusão-Petição","2018-09-19",128,0
"22388",1.0038832520184e+19,"Documento","2019-09-03",90,1
"22391",1.0034750520164e+19,"Conclusão-Documento","2016-05-06",0,0
"22398",1.0034750520164e+19,"Conclusão-Documento","2016-06-06",0,0
"22404",1.0034750520164e+19,"Conclusão-Decurso de Prazo","2017-11-09",493,0
"22414",1.0034750520164e+19,"Conclusão-Decurso de Prazo","2019-06-12",385,0
"22419",1.0034750520164e+19,"Petição","2019-10-09",54,1
"22424",1.0192303520174e+19,"Conclusão-Remessa","2018-02-14",5,0
"22426",1.0192303520174e+19,"Conclusão-Ato ordinatorio","2018-02-15",0,0
"22435",1.0192303520174e+19,"Conclusão-Petição","2019-01-08",116,0
"22441",1.0192303520174e+19,"Conclusão-Petição","2019-06-12",110,0
"22446",1.0192303520174e+19,"Petição","2019-09-25",68,1
"22451",1.0046246520184e+19,"Conclusão-Remessa","2018-03-07",0,0
"22455",1.0046246520184e+19,"Conclusão-Petição","2018-04-11",28,0
"22467",1.0046246520184e+19,"Conclusão-Juntada","2019-05-27",0,0
"22472",1.0046246520184e+19,"Decurso de Prazo","2019-09-26",67,1
"22475",1.0017094320184e+19,"Conclusão-Recebimento","2018-02-05",11,0
"22481",1.0017094320184e+19,"Conclusão-Petição","2018-03-14",0,0
"22490",1.0017094320184e+19,"Suspensão ou Sobrestamento","2019-04-23",223,1
"22493",1.0022568320184e+19,"Conclusão-Recebimento","2018-02-27",26,0
"22503",1.0022568320184e+19,"Conclusão-Redistribuição","2018-03-16",2,0
"22509",1.0022568320184e+19,"Conclusão-Petição","2019-02-06",54,0
"22515",1.0022568320184e+19,"Conclusão","2019-10-29",34,1
"22520",1.0179762720174e+19,"Conclusão-Remessa","2017-12-14",0,0
"22529",1.0179762720174e+19,"Conclusão-Expedição de documento","2018-03-21",7,0
"22536",1.0179762720174e+19,"Decurso de Prazo","2019-08-23",101,1
"22542",1.0170253320174e+19,"Conclusão-Remessa","2017-12-01",2,0
"22545",1.0170253320174e+19,"Conclusão-Redistribuição","2017-12-11",4,0
"22562",1.0170253320174e+19,"Conclusão-Petição","2018-06-18",63,0
"22566",1.0170253320174e+19,"Conclusão","2019-04-23",223,1
"22572",1.0198071320174e+19,"Conclusão-Mero expediente","2018-01-19",0,0
"22574",1.0198071320174e+19,"Conclusão-Petição","2018-03-14",42,0
"22581",1.0198071320174e+19,"Petição","2019-07-29",126,1
"22584",1.0023027220184e+19,"Conclusão-Recebimento","2018-02-16",14,0
"22589",1.0023027220184e+19,"Conclusão-Redistribuição","2018-03-20",4,0
"22595",1.0023027220184e+19,"Conclusão-Petição","2018-08-27",1,0
"22608",1.0023027220184e+19,"Conclusão","2019-10-29",34,1
"22613",1.0162562520174e+19,"Conclusão-Remessa","2017-11-20",0,0
"22616",1.0162562520174e+19,"Conclusão-Petição","2017-11-21",0,0
"22621",1.0162562520174e+19,"Conclusão-Petição","2017-11-28",0,0
"22627",1.0162562520174e+19,"Conclusão-Mandado","2017-12-15",2,0
"22636",1.0162562520174e+19,"Conclusão-Petição","2018-01-16",1,0
"22643",1.0162562520174e+19,"Conclusão-Decurso de Prazo","2018-02-27",8,0
"22651",1.0162562520174e+19,"Conclusão-Petição","2018-03-14",0,0
"22661",1.0162562520174e+19,"Conclusão-Petição","2018-06-29",3,0
"22663",1.0162562520174e+19,"Conclusão-Ato ordinatorio","2018-07-04",0,0
"22664",1.0162562520174e+19,"Juntada","2019-07-05",150,1
"22666",1.0061382420164e+19,"Conclusão-Distribuição","2016-08-04",0,0
"22673",1.0061382420164e+19,"Conclusão-Documento","2016-09-08",0,0
"22681",1.0061382420164e+19,"Conclusão-Expedição de documento","2017-11-09",66,0
"22686",1.0061382420164e+19,"Petição","2018-03-16",626,1
"22688",1.0032297220174e+19,"Conclusão-Distribuição","2017-05-25",1,0
"22695",1.0032297220174e+19,"Conclusão-Petição","2017-06-20",1,0
"22699",1.0032297220174e+19,"Conclusão-Petição","2017-06-23",1,0
"22706",1.0032297220174e+19,"Conclusão-Petição","2017-07-05",1,0
"22715",1.0032297220174e+19,"Conclusão-Petição","2017-08-15",0,0
"22721",1.0032297220174e+19,"Conclusão-Petição","2017-10-20",3,0
"22725",1.0032297220174e+19,"Conclusão-Petição","2017-10-26",2,0
"22730",1.0032297220174e+19,"Conclusão-Decurso de Prazo","2018-02-09",6,0
"22736",1.0032297220174e+19,"Conclusão-Expedição de documento","2018-04-25",42,0
"22748",1.0032297220174e+19,"Conclusão-Mandado","2018-06-06",15,0
"22761",1.0032297220174e+19,"Conclusão-Expedição de documento","2018-06-18",0,0
"22773",1.0032297220174e+19,"Conclusão-Decurso de Prazo","2018-09-05",10,0
"22800",1.0032297220174e+19,"Conclusão-Documento","2019-05-02",71,0
"22822",1.0032297220174e+19,"Petição","2019-09-03",90,1
"22828",1.0141396120174e+19,"Conclusão-Documento","2017-10-25",0,0
"22834",1.0141396120174e+19,"Conclusão-Redistribuição","2018-02-06",1,0
"22844",1.0141396120174e+19,"Conclusão-Decurso de Prazo","2018-08-27",73,0
"22854",1.0141396120174e+19,"Conclusão-Juntada","2019-05-27",0,0
"22857",1.0141396120174e+19,"Expedição de documento","2019-10-01",62,1
"22860",1.0019432520184e+19,"Conclusão-Recebimento","2018-01-31",2,0
"22873",1.0019432520184e+19,"Conclusão-Petição","2018-06-21",28,0
"22874",1.0019432520184e+19,"Juntada","2019-07-04",151,1
"22879",1.0100941420174e+19,"Conclusão-Remessa","2017-08-18",0,0
"22887",1.0100941420174e+19,"Conclusão-Decurso de Prazo","2018-04-05",21,0
"22899",1.0100941420174e+19,"Conclusão-Juntada","2019-05-27",0,0
"22904",1.0100941420174e+19,"Decurso de Prazo","2019-10-08",55,1
"22909",1.0175519720174e+19,"Conclusão-Remessa","2017-12-07",1,0
"22916",1.0175519720174e+19,"Conclusão-Decurso de Prazo","2018-03-16",1,0
"22919",1.0175519720174e+19,"Conclusão-Ato ordinatorio","2019-04-08",143,0
"22926",1.0175519720174e+19,"Decurso de Prazo","2019-08-07",117,1
"22931",1.0052447720184e+19,"Conclusão-Remessa","2018-03-15",0,0
"22935",1.0052447720184e+19,"Conclusão-Petição","2018-04-13",11,0
"22946",1.0052447720184e+19,"Conclusão-Petição","2019-05-27",189,0
"22952",1.0052447720184e+19,"Petição","2019-08-08",116,1
"22957",1.0053426220184e+19,"Conclusão-Remessa","2018-03-16",0,0
"22980",1.0053426220184e+19,"Conclusão-Petição","2018-04-09",6,0
"22994",1.0053426220184e+19,"Conclusão-Petição","2018-05-28",6,0
"23013",1.0053426220184e+19,"Conclusão-Decurso de Prazo","2019-01-08",39,0
"23015",1.0053426220184e+19,"Juntada","2019-07-09",146,1
