"","Nº Processo","Apelido","Classificação","Status","Classe do Processo","Data Inicial","Recebimento, triagem e conclusão do processo","Despacho para notificação do Requerido","Expedição de notificação","Cumprimento da notificação","Oferecimento de manifestação por escrito","Decisão rejeição da ação ou recebimento pet. inicial","Expedição de intimação e/ou citação","Cumprimento da intimação e/ou citação","Contestação e/ou agravo de instrumento","Ato ordinatório (Réplica)","Expedição de intimação","Cumprimento da intimação","Réplica","Ato ordinatório (Provas)","Expedição de intimação (Requerente)","Cumprimento  da intimação","Provas","Expedição de intimação (Requerido)","Cumprimento da intimação","Provas","Decisão saneamento","Expedição de intimação (Requerente)","Cumprimento da intimação","Pedido de esclarecimento ou solicitação de ajustes","Expedição de intimação (Requerido)","Cumprimento da intimação","Pedido de esclarecimento ou solicitação de ajustes","Prova pericial","Prova oral (audiência de instrução e julgamento)","Ato ordinário (Alegações finais)","Expedição de intimação (Requerente)","Cumprimento da intimação","Alegações finais","Expedição de intimação (Requerido)","Cumprimento da intimação","Alegações finais","Recebimento e conclusão do processo","Sentença"
"107","1106XXX","Apelido984","Encerrado","Atrasado","Ação Civil Coletiva","2017-01-13",4,5,5,7,12,27,4,6,11,2,1,4,10,3,3,3,3,5,4,7,12,2,9,7,1,2,10,102,58,2,1,9,16,2,6,10,4,24
"108","1107XXX","Apelido985","Encerrado","Atrasado","Ação Civil Coletiva","2018-12-08",1,2,5,4,11,22,1,5,10,2,5,3,12,1,1,2,5,1,5,10,11,2,5,8,1,4,2,89,52,1,4,4,20,2,4,18,1,27
"109","1108XXX","Apelido986","Encerrado","Atrasado","Ação Civil Coletiva","2017-09-20",0,2,3,6,17,38,5,5,15,5,3,3,20,1,4,6,3,5,6,8,8,3,8,7,5,6,10,94,58,4,1,7,20,5,2,16,1,31
"110","1109XXX","Apelido987","Encerrado","Atrasado","Ação Civil Coletiva","2019-08-16",3,5,2,5,13,32,1,2,14,2,4,8,13,2,3,5,5,3,8,5,13,1,5,8,4,5,2,90,51,5,2,3,14,2,3,17,4,22
"111","1110XXX","Apelido988","Encerrado","Atrasado","Ação Civil Coletiva","2017-06-27",0,1,1,3,20,24,1,7,12,4,2,7,14,1,3,10,3,5,2,5,11,5,5,6,4,3,10,101,63,1,4,8,12,1,3,19,2,30
"112","1111XXX","Apelido989","Encerrado","Atrasado","Ação Civil Coletiva","2019-04-01",3,2,1,3,15,33,1,6,18,5,2,5,16,1,4,3,7,4,3,9,15,5,6,3,1,6,3,101,66,1,1,3,19,1,3,15,1,35
"113","1112XXX","Apelido990","Encerrado","Atrasado","Ação Civil Coletiva","2018-07-08",3,5,3,4,15,24,1,3,15,1,1,6,13,5,3,3,8,2,9,8,12,1,9,5,2,10,9,104,56,1,2,6,17,3,10,20,4,35
"114","1113XXX","Apelido991","Encerrado","Atrasado","Ação Civil Coletiva","2019-11-12",2,3,3,6,14,39,3,2,11,3,1,9,18,4,3,4,3,2,7,6,17,5,2,8,1,7,2,94,63,4,1,5,10,2,9,11,4,24
"115","1114XXX","Apelido992","Encerrado","Atrasado","Ação Civil Coletiva","2018-08-28",0,3,1,7,13,32,1,7,11,4,2,9,14,1,1,2,8,2,3,5,8,1,9,7,3,10,8,92,51,1,1,3,12,5,3,12,1,30
"116","1115XXX","Apelido993","Encerrado","Atrasado","Ação Civil Coletiva","2019-05-07",1,5,1,2,10,28,2,5,14,1,4,6,17,5,2,3,9,4,10,3,15,4,3,5,1,6,3,103,55,1,3,10,14,1,5,20,4,38
"117","1116XXX","Apelido994","Encerrado","Atrasado","Ação Civil Coletiva","2017-09-17",0,5,1,5,19,26,2,7,20,3,1,6,13,4,5,10,2,2,8,7,14,4,10,2,1,6,5,96,63,3,1,2,11,2,2,19,5,39
"118","1117XXX","Apelido995","Encerrado","Atrasado","Ação Civil Coletiva","2018-01-18",3,1,1,3,15,34,1,1,19,4,4,6,20,3,1,7,2,2,10,2,8,3,6,9,3,5,5,88,65,1,4,6,15,1,4,15,4,39
"119","1118XXX","Apelido996","Encerrado","Atrasado","Ação Civil Coletiva","2019-03-14",3,5,5,6,11,30,4,4,15,1,1,10,12,1,2,9,9,4,7,7,14,3,9,9,5,7,8,93,66,1,4,8,14,1,3,12,1,36
"120","1119XXX","Apelido997","Encerrado","Atrasado","Ação Civil Coletiva","2017-03-04",5,4,5,6,13,27,1,5,14,3,5,7,13,1,5,5,8,5,9,3,15,1,6,9,2,5,7,94,63,5,1,7,13,4,3,19,5,39
"121","1120XXX","Apelido998","Encerrado","Atrasado","Ação Civil Coletiva","2019-05-26",0,5,5,1,15,25,1,2,17,1,1,5,15,2,1,7,10,1,2,3,11,5,9,8,1,6,5,97,62,1,1,9,11,1,9,11,2,28
"122","1121XXX","Apelido999","Encerrado","Atrasado","Ação Civil Coletiva","2018-08-23",1,1,4,5,11,23,3,4,14,2,1,9,16,3,1,9,2,1,3,3,10,4,9,7,5,3,7,105,63,1,1,6,10,2,10,11,5,24
"123","1122XXX","Apelido1000","Encerrado","Atrasado","Ação Civil Coletiva","2017-01-08",4,2,2,5,13,32,4,5,13,4,3,3,16,1,5,7,10,2,5,6,11,1,7,9,5,5,7,92,55,5,2,4,13,1,7,11,3,22
"124","1123XXX","aaaa","Encerrado","Atrasado","Ação Civil Coletiva","2017-01-08",4,2,2,5,13,32,4,5,13,4,3,3,16,1,5,7,10,2,5,6,11,1,7,9,5,5,7,92,55,5,2,4,13,1,7,11,3,22
"125","123XXX","Apelido1","Aberto","Atrasado","Busca e Apreensão","2019-11-21",1,1,1,3,15,30,1,3,15,1,1,5,15,1,1,5,5,1,5,5,10,1,5,5,1,5,5,90,60,1,1,5,15,1,5,15,1,41
"126","124XXX","Apelido2","Aberto","Atrasado","Busca e Apreensão","2019-11-04",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127","125XXX","Apelido3","Aberto","Atrasado","Busca e Apreensão","2018-09-12",5,2,1,2,15,36,4,4,18,5,1,5,17,3,4,3,7,1,3,4,18,4,8,6,4,8,8,90,67,1,2,10,11,2,8,20,1,34
"128","126XXX","Apelido4","Aberto","Atrasado","Busca e Apreensão","2018-11-19",2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129","127XXX","Apelido5","Aberto","Atrasado","Busca e Apreensão","2017-01-09",1,5,4,7,10,22,3,1,18,5,5,6,11,2,1,9,4,4,4,10,13,3,5,2,2,3,4,92,68,4,5,3,19,5,4,13,4,46
"130","128XXX","Apelido6","Aberto","Atrasado","Busca e Apreensão","2017-05-15",0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131","129XXX","Apelido7","Aberto","Atrasado","Busca e Apreensão","2018-10-21",3,4,4,5,11,36,4,4,14,1,4,4,18,4,1,8,6,3,9,5,9,5,4,7,5,8,3,102,70,5,1,10,12,4,4,12,2,36
"132","130XXX","Apelido8","Aberto","Atrasado","Busca e Apreensão","2017-04-28",3,3,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133","131XXX","Apelido9","Aberto","Atrasado","Busca e Apreensão","2018-01-14",3,2,1,1,11,25,1,2,13,4,5,7,17,4,4,5,6,2,6,5,10,1,2,10,1,2,10,96,54,1,5,3,16,1,3,19,3,37
"134","132XXX","Apelido10","Aberto","Atrasado","Busca e Apreensão","2018-09-28",1,4,3,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135","133XXX","Apelido11","Aberto","Atrasado","Busca e Apreensão","2017-01-12",0,2,1,3,16,39,5,6,11,1,1,2,14,5,1,2,6,5,3,9,10,1,10,3,2,9,10,88,50,3,1,9,13,2,10,14,2,43
"136","134XXX","Apelido12","Aberto","Atrasado","Busca e Apreensão","2018-07-14",5,3,1,2,19,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137","135XXX","Apelido13","Aberto","Atrasado","Busca e Apreensão","2018-07-30",3,2,5,4,19,28,3,5,11,1,2,9,17,2,2,3,9,1,6,9,12,3,5,6,1,9,2,85,68,4,3,9,14,5,3,14,2,41
"138","136XXX","Apelido14","Aberto","Atrasado","Busca e Apreensão","2018-03-13",2,5,3,1,10,28,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139","137XXX","Apelido15","Aberto","Atrasado","Busca e Apreensão","2019-11-17",0,5,5,5,16,32,2,3,20,3,2,3,20,1,3,10,5,3,9,6,11,3,9,6,3,8,7,102,55,2,1,10,18,1,3,12,1,46
"140","138XXX","Apelido16","Aberto","Atrasado","Busca e Apreensão","2018-11-09",0,1,5,5,18,32,5,3,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141","139XXX","Apelido17","Aberto","Atrasado","Busca e Apreensão","2017-04-15",4,4,4,5,12,23,5,3,15,1,3,8,19,5,4,9,6,3,9,6,10,1,6,2,1,6,6,97,62,3,2,8,12,5,5,14,1,34
"142","140XXX","Apelido18","Aberto","Atrasado","Busca e Apreensão","2019-02-18",1,1,1,7,20,40,1,4,18,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143","141XXX","Apelido19","Aberto","Atrasado","Busca e Apreensão","2017-01-02",4,2,2,7,12,33,3,5,17,3,1,6,20,1,1,9,2,4,7,10,11,2,9,8,3,2,8,101,51,4,1,10,19,1,5,20,5,39
"144","142XXX","Apelido20","Aberto","Atrasado","Busca e Apreensão","2018-11-10",3,1,4,3,13,31,1,2,18,1,1,8,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145","143XXX","Apelido21","Aberto","Atrasado","Busca e Apreensão","2018-03-10",4,1,2,3,20,32,1,4,19,1,2,2,16,5,1,9,3,4,8,7,16,1,5,9,5,10,9,93,61,2,1,9,14,3,2,13,2,36
"146","144XXX","Apelido22","Aberto","Atrasado","Busca e Apreensão","2018-01-30",3,1,2,7,12,35,4,6,10,2,1,5,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"147","145XXX","Apelido23","Aberto","Atrasado","Busca e Apreensão","2017-11-16",5,5,1,5,11,36,1,4,18,4,5,6,20,3,5,6,5,1,6,4,13,1,2,4,5,6,7,92,64,1,3,7,10,1,10,16,1,42
"148","146XXX","Apelido24","Aberto","Atrasado","Busca e Apreensão","2019-05-28",2,1,2,5,20,39,1,3,19,1,2,5,13,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149","147XXX","Apelido25","Aberto","Atrasado","Busca e Apreensão","2017-04-17",0,1,4,2,11,26,1,1,16,5,1,4,14,2,5,3,5,4,8,4,12,2,8,2,5,2,2,95,61,1,5,6,14,1,8,12,2,50
"150","148XXX","Apelido26","Aberto","Atrasado","Busca e Apreensão","2018-08-28",2,3,3,4,18,25,1,6,16,1,4,8,16,3,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151","149XXX","Apelido27","Aberto","Atrasado","Busca e Apreensão","2017-04-08",5,3,1,6,16,29,1,1,10,3,1,10,14,3,2,9,5,2,8,3,10,3,5,2,1,2,9,98,68,4,5,2,13,1,6,14,3,35
"152","150XXX","Apelido28","Aberto","Atrasado","Busca e Apreensão","2019-09-30",3,5,2,4,17,32,1,7,12,2,4,10,14,3,2,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153","151XXX","Apelido29","Aberto","Atrasado","Busca e Apreensão","2017-05-26",2,2,1,6,20,31,2,4,18,5,2,5,12,2,4,6,5,5,4,6,18,4,10,2,2,10,10,90,57,1,3,2,16,1,3,14,5,44
"154","152XXX","Apelido30","Aberto","Atrasado","Busca e Apreensão","2019-02-24",5,1,4,7,10,33,1,3,15,4,1,3,17,1,1,2,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155","153XXX","Apelido31","Aberto","Atrasado","Busca e Apreensão","2017-06-29",3,4,4,2,10,27,1,1,19,3,1,7,10,1,4,6,3,3,8,7,9,2,4,2,1,2,3,90,70,1,1,4,20,3,8,18,1,34
"156","154XXX","Apelido32","Aberto","Atrasado","Busca e Apreensão","2019-10-13",4,1,5,7,11,29,3,6,15,2,5,10,16,1,1,7,10,2,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157","155XXX","Apelido33","Aberto","Atrasado","Busca e Apreensão","2018-02-09",2,5,1,4,18,39,3,7,20,1,3,7,17,5,3,8,3,5,6,5,8,5,6,5,5,7,8,94,56,1,2,3,20,3,3,15,3,42
"158","156XXX","Apelido34","Aberto","Atrasado","Busca e Apreensão","2018-05-03",2,5,1,5,10,30,1,4,20,2,2,7,19,1,3,10,6,5,10,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159","157XXX","Apelido35","Aberto","Atrasado","Busca e Apreensão","2018-08-16",4,1,3,5,20,33,5,4,15,1,1,7,18,3,2,3,7,1,7,7,16,1,7,3,5,2,6,102,58,1,5,10,11,3,3,15,1,36
"160","158XXX","Apelido36","Aberto","Atrasado","Busca e Apreensão","2018-10-04",2,1,1,5,10,32,1,4,14,1,4,8,10,4,3,4,6,1,9,6,11,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161","159XXX","Apelido37","Aberto","Atrasado","Busca e Apreensão","2018-02-20",2,2,4,6,17,26,1,1,20,3,4,6,20,4,1,10,4,4,4,4,10,1,4,9,1,5,5,96,50,5,1,3,13,5,10,15,5,50
"162","160XXX","Apelido38","Aberto","Atrasado","Busca e Apreensão","2019-08-30",0,4,1,4,16,40,3,4,11,4,5,10,19,1,3,5,5,5,9,3,12,1,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"163","161XXX","Apelido39","Aberto","Atrasado","Busca e Apreensão","2018-12-04",4,2,1,4,15,26,4,6,11,5,1,10,13,2,5,2,2,4,2,4,17,3,4,8,3,3,4,85,55,2,2,9,16,3,4,18,4,46
"164","162XXX","Apelido40","Aberto","Atrasado","Busca e Apreensão","2017-11-02",5,4,2,6,15,31,3,5,10,3,2,3,20,2,1,9,4,5,8,2,18,1,3,5,5,17,0,0,0,0,0,0,0,0,0,0,0,0
"165","163XXX","Apelido41","Aberto","Atrasado","Busca e Apreensão","2017-12-02",2,1,4,5,18,39,2,3,10,1,4,3,19,2,1,5,7,1,6,6,17,5,5,2,2,9,3,86,69,1,4,3,10,2,9,12,2,51
"166","164XXX","Apelido42","Aberto","Atrasado","Busca e Apreensão","2018-11-26",0,1,2,3,13,35,1,1,17,5,5,8,17,1,4,9,7,2,6,9,9,2,8,7,4,3,17,0,0,0,0,0,0,0,0,0,0,0
"167","165XXX","Apelido43","Aberto","Atrasado","Busca e Apreensão","2019-12-03",3,1,2,1,18,36,4,7,19,1,2,4,11,4,4,5,4,3,2,4,17,1,9,7,5,7,8,87,61,1,3,5,17,3,2,18,5,38
"168","166XXX","Apelido44","Aberto","Atrasado","Busca e Apreensão","2018-03-24",2,3,3,1,18,26,1,6,16,3,5,5,14,2,1,8,10,3,10,3,10,1,2,4,5,8,10,94,66,0,0,0,0,0,0,0,0,0
"169","167XXX","Apelido45","Aberto","Atrasado","Busca e Apreensão","2017-08-20",0,1,1,2,16,25,1,4,15,3,1,3,18,3,5,9,2,4,6,9,14,1,8,6,5,9,7,102,67,1,1,8,15,3,3,15,1,35
"170","168XXX","Apelido46","Aberto","Atrasado","Busca e Apreensão","2018-10-05",3,5,3,5,20,31,1,7,13,1,5,5,19,1,4,2,3,1,9,6,16,1,6,7,5,6,6,92,51,14,0,0,0,0,0,0,0,0
"171","169XXX","Apelido47","Aberto","Atrasado","Busca e Apreensão","2019-11-14",4,5,2,2,11,31,3,2,14,3,5,3,13,1,1,4,3,4,2,5,8,2,7,10,4,5,8,102,67,1,5,5,20,5,10,19,4,34
"172","170XXX","Apelido48","Aberto","Atrasado","Busca e Apreensão","2017-06-12",5,2,3,2,16,37,5,6,11,2,1,7,15,2,3,7,4,3,6,10,15,5,7,9,5,9,3,91,51,1,4,16,0,0,0,0,0,0
"173","171XXX","Apelido49","Aberto","Atrasado","Busca e Apreensão","2019-09-04",3,4,4,4,17,36,5,5,11,1,1,7,13,3,4,2,4,4,4,2,15,3,5,9,4,3,9,88,53,2,5,4,19,1,10,16,4,47
"174","172XXX","Apelido50","Aberto","Atrasado","Busca e Apreensão","2017-01-06",3,2,3,4,14,28,1,4,15,1,1,7,16,1,2,5,9,5,5,8,11,1,8,6,5,4,10,93,63,5,1,10,29,0,0,0,0,0
"175","173XXX","Apelido51","Aberto","Atrasado","Busca e Apreensão","2018-12-30",2,4,2,4,19,23,4,7,15,1,4,2,19,3,1,7,5,4,4,6,14,5,10,9,4,5,2,92,53,1,3,2,14,1,3,16,1,35
"176","174XXX","Apelido52","Aberto","Atrasado","Busca e Apreensão","2018-11-26",1,1,4,1,10,23,4,7,17,2,4,3,14,2,1,2,3,5,4,8,12,5,4,2,2,6,10,100,64,2,2,4,15,15,0,0,0,0
"177","175XXX","Apelido53","Aberto","Atrasado","Busca e Apreensão","2018-01-25",5,1,3,7,18,28,3,7,15,2,3,8,18,1,2,7,7,5,10,10,14,2,7,2,1,7,7,98,65,2,3,4,14,3,2,30,0,0
"178","176XXX","Apelido54","Aberto","Atrasado","Busca e Apreensão","2019-09-12",2,2,5,4,13,40,4,7,17,3,4,3,17,1,4,9,3,2,6,8,17,4,6,6,4,10,6,102,61,1,1,3,16,2,3,14,2,47
"179","177XXX","Apelido55","Aberto","Atrasado","Busca e Apreensão","2018-04-17",2,1,2,1,20,39,3,5,13,2,2,6,16,5,2,10,3,2,8,10,8,3,10,7,4,9,2,101,67,3,2,2,12,5,3,11,1,39
"180","178XXX","Apelido56","Aberto","Atrasado","Busca e Apreensão","2018-04-24",0,1,1,6,13,24,3,3,14,5,1,3,16,3,3,7,2,3,7,7,17,3,6,9,2,10,10,103,62,5,4,7,15,2,9,15,5,36
"181","179XXX","Apelido57","Aberto","Atrasado","Busca e Apreensão","2018-06-26",1,5,2,6,13,39,2,2,19,4,4,9,18,1,1,6,4,2,7,6,11,4,10,9,1,7,4,91,57,3,2,8,13,5,3,20,2,46
"182","180XXX","Apelido58","Aberto","Atrasado","Busca e Apreensão","2017-10-10",3,1,3,6,17,29,2,4,19,1,2,7,16,5,1,2,2,3,5,2,13,1,9,7,4,10,5,105,50,3,3,7,18,2,7,20,2,50
"183","181XXX","Apelido59","Aberto","Atrasado","Busca e Apreensão","2019-08-28",5,3,5,6,16,32,1,4,11,5,1,10,15,2,4,5,9,4,3,3,16,1,10,8,3,4,6,91,60,3,2,4,15,3,9,11,1,40
"184","182XXX","Apelido60","Aberto","Atrasado","Busca e Apreensão","2017-04-17",0,4,1,7,15,29,1,2,10,4,1,6,14,2,1,9,7,5,5,9,11,1,10,9,1,7,5,87,57,2,1,4,15,2,3,13,5,35
"185","183XXX","Apelido61","Aberto","Atrasado","Busca e Apreensão","2018-12-01",4,2,4,7,20,33,5,2,20,4,1,5,15,2,1,3,2,5,10,2,13,1,10,4,4,8,9,103,56,2,5,5,18,1,7,12,3,34
"186","184XXX","Apelido62","Aberto","Atrasado","Busca e Apreensão","2019-01-12",3,1,1,5,13,28,1,5,10,1,1,5,13,2,4,6,8,4,5,10,15,4,8,6,1,3,4,101,68,1,4,6,16,2,10,20,4,46
"187","185XXX","Apelido63","Aberto","Atrasado","Busca e Apreensão","2018-06-16",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"188","186XXX","Apelido64","Aberto","Atrasado","Busca e Apreensão","2018-03-09",1,4,2,1,20,25,1,3,17,2,1,2,11,4,3,2,7,5,3,6,15,3,6,2,1,10,5,92,64,3,1,5,13,1,9,20,2,41
"189","187XXX","Apelido65","Aberto","Atrasado","Busca e Apreensão","2017-10-03",0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190","188XXX","Apelido66","Aberto","Atrasado","Busca e Apreensão","2019-09-19",5,4,3,1,14,26,5,3,19,4,5,2,19,5,4,8,4,5,10,7,17,2,9,10,3,3,9,102,50,5,3,10,16,1,9,15,5,48
"191","189XXX","Apelido67","Aberto","Atrasado","Busca e Apreensão","2017-05-09",3,4,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192","190XXX","Apelido68","Aberto","Atrasado","Busca e Apreensão","2018-10-11",0,1,2,1,14,29,1,4,18,2,5,7,20,2,2,3,5,5,4,2,13,1,7,2,4,4,9,104,65,4,5,10,12,5,4,11,1,36
"193","191XXX","Apelido69","Aberto","Atrasado","Busca e Apreensão","2019-05-29",3,2,2,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"194","192XXX","Apelido70","Aberto","Atrasado","Busca e Apreensão","2019-08-22",4,5,5,5,11,40,5,6,17,4,1,5,14,2,1,8,9,1,5,9,13,1,10,8,3,10,2,92,56,3,2,7,12,4,2,17,2,50
"195","193XXX","Apelido71","Aberto","Atrasado","Busca e Apreensão","2019-12-27",4,5,1,1,12,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196","194XXX","Apelido72","Aberto","Atrasado","Busca e Apreensão","2018-01-15",5,3,3,6,16,22,1,7,11,1,4,2,19,5,1,5,10,5,3,8,13,5,7,2,4,8,3,98,56,4,4,10,13,1,4,16,4,48
"197","195XXX","Apelido73","Aberto","Atrasado","Busca e Apreensão","2017-12-29",4,3,3,5,11,39,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198","196XXX","Apelido74","Aberto","Atrasado","Busca e Apreensão","2017-03-09",5,5,2,6,14,24,1,7,18,5,5,2,10,2,3,5,3,5,2,8,9,1,3,5,1,8,4,103,57,1,2,7,19,3,5,15,3,36
"199","197XXX","Apelido75","Aberto","Atrasado","Busca e Apreensão","2019-04-04",1,5,1,7,11,31,3,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200","198XXX","Apelido76","Aberto","Atrasado","Busca e Apreensão","2018-04-05",3,3,2,1,13,40,4,2,13,5,2,9,18,4,3,3,9,4,2,8,17,3,3,9,4,3,10,104,65,1,4,7,10,1,6,10,1,48
"201","199XXX","Apelido77","Aberto","Atrasado","Busca e Apreensão","2017-09-24",4,5,1,2,18,35,4,3,12,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202","200XXX","Apelido78","Aberto","Atrasado","Busca e Apreensão","2017-12-17",1,4,4,2,18,34,1,1,19,1,4,4,16,5,1,5,7,4,8,6,18,1,3,7,1,4,8,101,69,4,1,3,17,3,7,12,2,46
"203","201XXX","Apelido79","Aberto","Atrasado","Busca e Apreensão","2019-04-04",3,2,1,3,19,38,2,7,13,2,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204","202XXX","Apelido80","Aberto","Atrasado","Busca e Apreensão","2018-12-08",0,4,5,7,14,26,5,5,13,5,4,5,14,2,2,6,5,1,8,3,16,3,3,3,2,9,5,101,59,1,5,6,19,1,7,14,3,39
"205","203XXX","Apelido81","Aberto","Atrasado","Busca e Apreensão","2018-07-03",2,1,1,2,11,40,2,1,13,1,3,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"206","204XXX","Apelido82","Aberto","Atrasado","Busca e Apreensão","2017-09-10",4,1,4,7,20,28,5,6,15,1,1,3,14,1,5,6,4,2,7,7,11,5,2,4,1,7,4,89,58,5,1,3,10,4,7,20,2,50
"207","205XXX","Apelido83","Aberto","Atrasado","Busca e Apreensão","2018-10-13",1,3,1,3,14,34,2,2,12,1,5,6,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208","206XXX","Apelido84","Aberto","Atrasado","Busca e Apreensão","2019-07-29",1,1,2,3,15,34,1,5,18,2,4,4,10,1,3,7,2,1,5,2,12,4,6,2,1,9,3,105,58,4,2,7,14,4,8,13,1,34
"209","207XXX","Apelido85","Aberto","Atrasado","Busca e Apreensão","2017-04-11",3,5,5,6,13,27,1,2,15,3,1,4,17,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"210","208XXX","Apelido86","Aberto","Atrasado","Busca e Apreensão","2018-01-19",4,1,1,2,11,37,1,2,17,3,3,6,18,1,1,3,8,2,6,3,18,1,10,2,3,6,9,86,59,1,3,9,10,3,2,17,1,44
"211","209XXX","Apelido87","Aberto","Atrasado","Busca e Apreensão","2017-07-31",3,4,2,1,16,29,5,4,13,1,3,2,10,5,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212","210XXX","Apelido88","Aberto","Atrasado","Busca e Apreensão","2019-11-30",3,1,5,2,12,30,4,2,13,2,5,10,13,5,1,4,9,4,9,2,12,2,10,8,3,3,7,95,54,1,1,4,15,1,4,13,5,35
"213","211XXX","Apelido89","Aberto","Atrasado","Busca e Apreensão","2018-02-05",5,3,2,2,13,24,1,6,14,1,4,10,18,5,5,2,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"214","212XXX","Apelido90","Aberto","Atrasado","Busca e Apreensão","2018-01-29",0,1,5,1,18,40,5,6,12,1,1,5,10,1,1,4,5,5,5,2,12,3,5,10,1,9,9,94,55,3,1,5,19,3,2,18,5,42
"215","213XXX","Apelido91","Aberto","Atrasado","Busca e Apreensão","2017-09-07",1,4,1,7,11,34,1,5,18,1,2,5,18,2,5,8,9,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"216","214XXX","Apelido92","Aberto","Atrasado","Busca e Apreensão","2018-11-09",2,5,2,2,12,39,5,5,13,5,1,6,13,1,1,10,4,1,9,3,8,2,9,9,2,9,4,101,51,3,5,7,18,5,5,10,1,49
"217","215XXX","Apelido93","Aberto","Atrasado","Busca e Apreensão","2017-02-09",5,1,3,7,13,29,5,3,20,4,4,10,11,1,1,2,2,1,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"218","216XXX","Apelido94","Aberto","Atrasado","Busca e Apreensão","2018-09-03",1,1,1,2,10,37,4,4,10,1,3,2,13,3,5,7,2,5,4,8,10,1,5,6,1,3,8,85,54,3,1,6,15,3,10,14,1,40
"219","217XXX","Apelido95","Aberto","Atrasado","Busca e Apreensão","2019-04-17",1,5,3,5,18,28,1,3,11,1,1,2,20,3,4,4,7,1,3,8,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
