"","Nº Processo","Apelido","Classificação","Status","Classe do Processo","Data Inicial","Recebimento, triagem e conclusão do processo","Despacho para notificação do Requerido","Expedição de notificação","Cumprimento da notificação","Oferecimento de manifestação por escrito","Decisão rejeição da ação ou recebimento pet. inicial","Expedição de intimação e/ou citação","Cumprimento da intimação e/ou citação","Contestação e/ou agravo de instrumento","Ato ordinatório (Réplica)","Expedição de intimação","Cumprimento da intimação","Réplica","Ato ordinatório (Provas)","Expedição de intimação (Requerente)","Cumprimento  da intimação","Provas","Expedição de intimação (Requerido)","Cumprimento da intimação","Provas","Decisão saneamento","Expedição de intimação (Requerente)","Cumprimento da intimação","Pedido de esclarecimento ou solicitação de ajustes","Expedição de intimação (Requerido)","Cumprimento da intimação","Pedido de esclarecimento ou solicitação de ajustes","Prova pericial","Prova oral (audiência de instrução e julgamento)","Ato ordinário (Alegações finais)","Expedição de intimação (Requerente)","Cumprimento da intimação","Alegações finais","Expedição de intimação (Requerido)","Cumprimento da intimação","Alegações finais","Recebimento e conclusão do processo","Sentença"
"111","233XXX","Apelido111","Aberto","Ok","Busca e Apreensão","2017-03-12",0,3,4,3,11,35,0,5,20,2,3,7,10,5,3,8,6,1,3,2,17,0,3,7,0,7,4,93,61,2,0,0,0,0,0,0,0,0
"112","234XXX","Apelido112","Aberto","Ok","Busca e Apreensão","2017-01-04",4,4,2,2,16,27,3,2,20,3,5,7,14,1,4,3,7,4,4,8,17,5,10,9,2,8,2,89,51,2,4,5,17,4,4,20,2,31
"113","235XXX","Apelido113","Aberto","Ok","Busca e Apreensão","2017-11-18",0,1,3,1,11,28,1,4,15,3,2,6,12,0,4,10,6,5,10,5,17,0,4,5,3,4,6,94,52,2,5,0,0,0,0,0,0,0
"114","236XXX","Apelido114","Aberto","Ok","Busca e Apreensão","2017-06-09",4,3,2,5,12,33,5,6,17,1,1,6,20,3,4,4,6,4,3,8,8,2,5,3,1,2,3,96,53,0,0,4,11,2,4,13,4,26
"115","237XXX","Apelido115","Aberto","Ok","Busca e Apreensão","2019-03-21",5,4,1,4,14,35,5,5,13,2,5,9,14,5,3,9,10,0,7,3,9,1,2,4,5,8,10,95,65,0,2,9,0,0,0,0,0,0
"116","238XXX","Apelido116","Aberto","Ok","Busca e Apreensão","2018-02-21",3,2,0,5,20,28,3,4,11,3,0,4,17,4,4,2,9,1,10,5,12,2,5,9,3,10,2,94,52,1,5,6,12,0,6,18,2,28
"117","239XXX","Apelido117","Aberto","Ok","Busca e Apreensão","2019-05-08",3,5,3,3,16,32,3,6,16,1,5,5,15,5,0,10,2,5,9,2,10,0,6,4,0,7,3,85,53,4,5,6,14,0,0,0,0,0
"118","240XXX","Apelido118","Aberto","Ok","Busca e Apreensão","2018-07-29",1,0,0,5,14,24,4,4,19,0,0,2,19,5,0,6,6,0,8,9,12,0,5,4,5,2,7,91,66,0,5,2,16,5,3,19,0,27
"119","241XXX","Apelido119","Aberto","Ok","Busca e Apreensão","2019-10-12",3,4,4,1,13,37,0,7,15,4,1,8,13,5,0,2,4,3,2,10,17,4,10,8,4,7,3,103,56,3,1,5,10,4,0,0,0,0
"120","242XXX","Apelido120","Aberto","Ok","Busca e Apreensão","2017-12-19",4,0,0,2,14,36,3,4,19,3,3,6,19,5,3,9,5,4,9,5,16,5,10,7,0,7,2,87,70,2,5,7,19,3,4,19,4,26
"121","243XXX","Apelido121","Aberto","Ok","Busca e Apreensão","2017-03-08",2,1,3,3,19,37,3,6,19,2,0,7,18,0,4,7,5,5,5,9,16,0,2,2,5,7,6,96,59,5,0,8,11,4,9,0,0,0
"122","244XXX","Apelido122","Aberto","Ok","Busca e Apreensão","2017-05-21",0,4,0,5,15,25,2,3,13,5,5,7,17,1,5,10,5,3,9,10,9,4,3,6,2,10,4,89,61,0,4,3,10,1,2,14,2,40
"123","245XXX","Apelido123","Aberto","Ok","Busca e Apreensão","2017-06-22",0,0,1,5,18,25,5,1,19,5,2,2,10,3,0,9,10,1,2,6,10,4,4,10,2,2,3,94,56,3,3,5,16,2,2,20,0,0
"124","246XXX","Apelido124","Aberto","Ok","Busca e Apreensão","2018-11-20",0,2,4,7,17,29,3,1,19,4,1,4,10,2,0,4,6,2,4,5,17,3,9,4,5,5,5,86,64,2,4,9,12,1,9,17,2,32
"125","247XXX","Apelido125","Aberto","Ok","Busca e Apreensão","2019-02-18",5,0,0,2,13,30,3,1,13,2,4,2,14,5,5,10,6,4,10,7,15,5,10,3,0,6,4,87,69,4,3,9,18,2,7,14,2,0
"126","248XXX","Apelido126","Aberto","Ok","Busca e Apreensão","2018-07-23",5,3,4,1,13,39,3,2,20,3,4,2,16,4,2,7,4,4,4,10,13,2,10,9,5,2,6,89,59,5,1,9,15,5,2,20,5,36
"127","249XXX","Apelido127","Aberto","Ok","Busca e Apreensão","2019-05-03",3,0,0,5,20,36,5,7,20,2,2,2,13,2,5,4,5,2,4,6,11,4,2,4,2,4,3,86,70,2,0,8,20,1,3,10,0,30
"128","250XXX","Apelido128","Aberto","Ok","Busca e Apreensão","2018-09-15",3,4,2,5,19,37,4,3,14,0,2,5,17,3,4,10,3,3,8,4,13,5,3,2,1,2,8,87,64,1,5,5,19,0,5,19,5,23
"129","251XXX","Apelido129","Aberto","Ok","Busca e Apreensão","2017-03-27",1,5,0,3,17,22,3,4,14,2,1,5,18,1,1,9,9,2,5,3,13,4,8,2,0,7,7,101,63,0,5,5,16,2,7,20,5,40
"130","252XXX","Apelido130","Aberto","Ok","Busca e Apreensão","2019-11-29",3,4,5,7,13,36,3,6,15,0,4,7,12,5,4,4,4,2,7,7,17,3,2,10,1,9,3,103,63,4,4,3,15,4,5,15,2,37
"131","253XXX","Apelido131","Aberto","Ok","Busca e Apreensão","2018-08-30",4,5,3,2,15,28,3,5,16,2,1,2,18,2,3,9,5,4,4,4,9,0,3,9,1,4,4,85,62,2,0,10,18,2,8,18,0,39
"132","254XXX","Apelido132","Aberto","Ok","Busca e Apreensão","2018-06-07",2,3,3,3,10,27,3,3,16,5,4,9,16,2,5,8,5,2,5,2,9,1,3,6,4,7,3,89,56,1,0,3,12,2,5,12,0,36
"133","255XXX","Apelido133","Aberto","Ok","Busca e Apreensão","2018-11-06",3,1,0,6,20,24,5,3,11,1,4,9,15,3,3,8,6,3,2,3,17,1,4,10,2,8,10,90,53,5,0,6,20,4,7,18,0,35
"134","256XXX","Apelido134","Aberto","Ok","Busca e Apreensão","2017-03-29",5,3,4,4,13,32,1,4,17,1,5,3,19,0,1,10,8,0,8,6,10,0,5,6,2,10,8,99,59,5,0,4,16,3,4,13,2,38
"135","257XXX","Apelido135","Aberto","Ok","Busca e Apreensão","2019-04-20",3,0,5,1,16,40,1,3,12,0,1,9,18,4,5,6,10,5,8,10,8,5,7,4,3,9,6,94,57,4,3,5,16,1,2,14,2,24
"136","258XXX","Apelido136","Aberto","Ok","Busca e Apreensão","2019-07-19",3,5,3,6,14,22,4,6,20,5,4,6,13,3,3,7,9,2,6,8,16,2,4,2,4,6,8,85,70,5,4,9,14,2,9,17,1,24
"137","259XXX","Apelido137","Aberto","Ok","Busca e Apreensão","2019-05-15",5,2,4,5,20,27,4,4,16,0,3,8,13,1,3,9,5,2,2,4,11,2,8,3,3,8,10,96,53,0,3,5,14,0,8,18,0,40
"138","260XXX","Apelido138","Aberto","Ok","Busca e Apreensão","2018-12-24",0,2,0,5,10,39,3,3,12,3,3,9,13,2,1,7,3,3,4,3,9,4,5,7,4,2,10,92,69,2,0,7,11,4,6,18,1,29
"139","261XXX","Apelido139","Aberto","Ok","Busca e Apreensão","2019-03-04",0,5,0,7,16,38,2,6,12,5,3,9,15,5,1,8,7,3,4,8,9,1,10,10,3,5,8,96,50,0,0,10,11,5,9,18,2,35
"140","262XXX","Apelido140","Aberto","Ok","Busca e Apreensão","2019-12-21",3,0,3,5,18,24,5,5,12,2,1,8,20,4,3,10,5,5,5,7,13,4,5,8,2,10,6,103,68,4,4,6,10,0,7,12,3,36
"141","263XXX","Apelido141","Aberto","Ok","Busca e Apreensão","2018-05-03",0,0,2,1,17,25,0,6,11,5,4,5,19,2,3,8,5,4,10,6,12,4,10,4,4,3,8,102,63,3,1,6,20,3,8,10,0,39
"142","264XXX","Apelido142","Aberto","Ok","Busca e Apreensão","2018-07-10",2,2,0,6,18,29,3,2,20,2,4,7,13,2,0,9,5,1,10,2,14,0,4,7,3,3,5,94,50,0,1,2,18,2,3,16,4,31
"143","265XXX","Apelido143","Aberto","Ok","Busca e Apreensão","2018-01-08",2,4,2,7,14,28,2,3,12,3,3,5,19,4,0,5,5,3,2,4,17,4,4,3,3,2,3,100,70,4,4,8,11,4,8,17,4,32
"144","266XXX","Apelido144","Aberto","Ok","Busca e Apreensão","2019-12-25",5,5,2,1,19,28,5,6,11,2,5,9,18,4,0,5,2,4,8,6,8,2,10,10,5,10,7,101,53,3,3,3,10,0,9,15,5,39
"145","267XXX","Apelido145","Aberto","Ok","Busca e Apreensão","2017-10-12",1,2,5,2,12,39,2,1,13,1,0,10,13,5,4,7,6,2,9,8,18,5,6,10,0,10,3,93,63,4,3,10,10,0,3,19,5,28
"146","268XXX","Apelido146","Aberto","Ok","Busca e Apreensão","2018-01-28",1,2,0,7,16,24,1,6,12,2,1,10,11,4,0,9,2,4,6,7,8,2,5,4,3,10,4,85,64,2,2,9,17,5,7,12,4,40
"147","269XXX","Apelido147","Aberto","Ok","Busca e Apreensão","2019-06-01",2,2,1,5,15,37,3,6,12,1,1,3,11,0,4,7,10,4,6,6,8,0,5,3,3,9,3,96,57,3,4,5,17,0,10,12,1,36
"148","270XXX","Apelido148","Aberto","Ok","Busca e Apreensão","2019-12-28",3,2,4,6,13,32,0,2,11,3,5,8,11,5,4,5,10,3,10,7,17,4,8,2,1,5,5,99,58,4,2,10,14,4,9,11,2,40
"149","271XXX","Apelido149","Aberto","Ok","Busca e Apreensão","2018-01-19",2,3,4,1,13,31,4,3,17,4,2,6,13,0,2,7,10,1,7,2,13,2,4,5,3,4,9,87,60,4,3,9,16,0,8,17,0,34
"150","272XXX","Apelido150","Aberto","Ok","Busca e Apreensão","2018-02-21",5,4,0,7,19,25,3,5,11,3,0,7,14,0,3,9,2,5,5,4,8,2,10,7,5,8,7,103,68,5,3,6,17,2,9,14,3,40
"151","273XXX","Apelido151","Aberto","Ok","Busca e Apreensão","2017-02-14",2,0,4,6,18,32,0,7,19,2,0,6,12,3,3,8,9,3,9,10,11,2,3,6,3,8,9,104,67,1,3,7,15,5,8,19,2,32
"152","274XXX","Apelido152","Aberto","Ok","Busca e Apreensão","2017-08-27",0,0,1,5,15,30,2,1,13,1,4,7,16,3,5,9,9,0,2,4,16,2,6,5,4,8,6,88,54,4,0,8,16,4,8,15,5,37
"153","275XXX","Apelido153","Aberto","Ok","Busca e Apreensão","2018-10-08",5,3,3,1,15,38,3,6,18,1,3,6,15,5,3,5,5,0,9,8,8,0,7,6,0,2,8,89,58,5,1,3,14,0,6,12,5,31
"154","276XXX","Apelido154","Aberto","Ok","Busca e Apreensão","2017-07-08",5,4,5,6,16,40,0,6,16,1,1,10,11,2,1,7,6,2,10,3,14,1,8,8,0,10,6,104,63,2,2,6,15,1,9,17,5,40
"155","277XXX","Apelido155","Aberto","Ok","Busca e Apreensão","2019-12-25",3,0,5,3,16,26,5,7,20,0,2,3,17,3,4,8,10,4,6,8,8,3,5,4,4,8,10,105,58,2,4,5,19,4,4,13,4,24
"156","278XXX","Apelido156","Aberto","Ok","Busca e Apreensão","2017-01-30",5,2,5,7,15,39,4,4,11,1,1,3,11,3,1,8,4,3,3,6,11,5,7,7,0,7,7,94,60,2,5,5,14,1,4,17,0,37
"157","279XXX","Apelido157","Aberto","Ok","Busca e Apreensão","2017-08-25",5,4,2,2,12,23,0,1,12,1,3,5,20,5,5,5,9,3,2,2,11,4,9,9,5,7,8,104,70,4,0,10,18,0,4,17,0,37
"158","280XXX","Apelido158","Aberto","Ok","Busca e Apreensão","2017-03-31",2,3,2,1,10,31,1,6,18,4,3,9,13,2,3,2,7,2,10,4,17,0,2,6,0,2,9,101,53,3,1,8,15,4,2,19,2,37
"159","281XXX","Apelido159","Aberto","Ok","Busca e Apreensão","2017-11-05",1,0,5,2,17,39,2,3,16,3,4,9,16,4,0,4,2,5,10,6,10,0,7,7,2,5,4,90,59,3,3,8,11,3,9,20,5,27
"160","282XXX","Apelido160","Aberto","Ok","Busca e Apreensão","2018-05-16",3,0,4,5,17,28,4,7,17,5,1,5,17,0,2,9,6,0,9,7,11,0,7,2,5,3,7,97,52,5,5,9,18,2,5,18,2,33
"161","283XXX","Apelido161","Aberto","Ok","Busca e Apreensão","2018-03-18",3,2,3,1,19,33,5,1,19,5,1,6,19,4,4,4,7,2,5,2,10,1,7,5,5,7,7,98,70,4,0,9,20,3,9,15,3,29
"162","284XXX","Apelido162","Aberto","Ok","Busca e Apreensão","2017-05-28",2,4,2,7,12,30,3,5,13,1,4,4,12,0,3,10,6,3,2,2,17,5,9,8,2,8,4,98,59,2,3,2,11,0,2,17,3,30
"163","285XXX","Apelido163","Aberto","Ok","Busca e Apreensão","2018-03-26",3,1,4,2,12,36,1,1,15,5,5,6,14,5,0,7,6,4,10,2,17,4,2,6,3,9,3,85,63,0,1,3,14,4,9,17,2,29
"164","286XXX","Apelido164","Aberto","Ok","Busca e Apreensão","2018-10-17",5,5,0,2,10,32,5,7,10,5,1,5,18,3,2,10,9,2,5,6,14,4,8,7,5,6,5,87,66,0,4,3,12,0,7,11,4,24
"165","287XXX","Apelido165","Aberto","Ok","Busca e Apreensão","2019-01-27",2,1,4,6,14,35,4,1,13,5,5,10,14,1,1,3,6,0,5,8,15,1,5,4,5,8,2,92,52,2,2,2,10,3,6,18,5,26
"166","288XXX","Apelido166","Aberto","Ok","Busca e Apreensão","2019-12-28",0,3,2,1,19,31,1,6,19,2,5,6,20,1,3,10,3,3,5,10,14,0,8,4,2,5,2,85,65,2,0,10,18,1,2,14,3,39
"167","289XXX","Apelido167","Encerrado","Ok","Busca e Apreensão","2017-07-26",1,1,3,5,19,25,1,3,15,0,5,3,14,0,4,7,5,3,9,6,15,5,6,8,2,10,3,105,58,5,1,5,18,0,6,14,3,27
"168","290XXX","Apelido168","Encerrado","Ok","Busca e Apreensão","2018-08-14",0,3,0,4,20,40,5,7,17,5,2,6,17,1,4,10,3,5,8,9,15,1,8,4,2,3,3,92,52,1,1,5,10,2,10,13,2,34
"169","291XXX","Apelido169","Encerrado","Ok","Busca e Apreensão","2019-06-22",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","292XXX","Apelido170","Encerrado","Ok","Busca e Apreensão","2017-03-24",1,0,2,4,11,38,3,5,17,3,0,7,15,0,4,5,10,1,9,7,16,5,10,6,3,4,3,89,50,4,1,7,17,0,3,20,2,29
"171","293XXX","Apelido171","Encerrado","Ok","Busca e Apreensão","2018-11-04",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172","294XXX","Apelido172","Encerrado","Ok","Busca e Apreensão","2019-08-14",3,5,3,3,10,30,5,5,10,0,3,10,10,0,0,3,3,4,3,2,17,3,7,3,4,9,5,89,63,5,5,4,11,5,9,15,0,22
"173","295XXX","Apelido173","Encerrado","Ok","Busca e Apreensão","2018-03-01",0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174","296XXX","Apelido174","Encerrado","Ok","Busca e Apreensão","2018-07-27",1,4,1,5,13,22,4,1,12,0,2,6,20,5,3,9,3,1,7,9,16,5,7,10,4,8,2,105,65,5,4,6,17,0,7,16,2,40
"175","297XXX","Apelido175","Encerrado","Ok","Busca e Apreensão","2018-05-26",4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"176","298XXX","Apelido176","Encerrado","Alerta","Busca e Apreensão","2019-06-03",2,0,0,5,18,36,1,6,17,2,0,8,10,1,1,10,8,4,9,10,14,2,6,4,4,7,8,105,55,3,4,10,16,3,3,12,2,28
"177","299XXX","Apelido177","Encerrado","Alerta","Busca e Apreensão","2018-09-18",0,3,4,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178","300XXX","Apelido178","Encerrado","Alerta","Busca e Apreensão","2019-08-21",5,0,4,3,14,31,2,2,12,0,4,4,20,3,1,8,2,2,3,9,18,0,6,5,2,10,9,93,63,5,2,10,17,4,7,20,1,24
"179","301XXX","Apelido179","Encerrado","Alerta","Busca e Apreensão","2018-04-04",1,5,0,4,10,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180","302XXX","Apelido180","Encerrado","Alerta","Busca e Apreensão","2019-12-24",1,2,0,7,11,24,2,5,16,2,2,9,18,2,4,4,10,1,5,10,9,1,6,7,0,4,8,92,63,1,1,4,16,2,10,17,4,37
"181","303XXX","Apelido181","Encerrado","Alerta","Busca e Apreensão","2019-02-27",2,1,2,5,10,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"182","304XXX","Apelido182","Encerrado","Alerta","Busca e Apreensão","2019-06-03",5,3,3,5,10,34,5,6,20,1,4,2,10,2,3,2,5,2,6,8,14,0,6,4,2,3,2,102,62,3,4,7,14,4,10,10,5,27
"183","305XXX","Apelido183","Encerrado","Alerta","Busca e Apreensão","2019-08-17",2,3,0,4,10,22,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184","306XXX","Apelido184","Encerrado","Alerta","Busca e Apreensão","2017-08-26",0,5,1,6,17,29,4,7,19,0,5,5,20,0,1,8,6,0,2,7,14,5,7,9,0,2,6,87,51,1,4,2,11,2,5,15,3,37
"185","307XXX","Apelido185","Encerrado","Alerta","Busca e Apreensão","2018-12-02",1,1,1,4,16,24,3,4,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186","308XXX","Apelido186","Encerrado","Alerta","Busca e Apreensão","2018-12-12",1,3,5,6,12,37,5,5,18,3,1,4,15,0,0,3,8,2,9,2,12,0,8,3,0,8,3,94,51,5,3,5,12,5,6,18,2,28
"187","309XXX","Apelido187","Encerrado","Alerta","Busca e Apreensão","2017-10-26",2,1,5,2,19,27,3,3,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"188","310XXX","Apelido188","Encerrado","Alerta","Busca e Apreensão","2018-10-27",5,4,0,6,11,37,5,2,10,3,0,5,16,2,1,10,7,0,10,9,16,0,7,2,4,7,7,104,57,0,5,9,13,3,9,19,0,40
"189","311XXX","Apelido189","Encerrado","Alerta","Busca e Apreensão","2019-07-07",1,4,0,6,20,23,4,5,17,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190","312XXX","Apelido190","Encerrado","Alerta","Busca e Apreensão","2017-10-08",4,0,2,7,11,24,0,7,20,5,3,9,14,3,4,3,8,3,8,2,14,0,5,10,1,5,2,100,58,2,5,3,19,4,4,10,3,24
"191","313XXX","Apelido191","Encerrado","Alerta","Busca e Apreensão","2017-10-18",5,1,2,3,10,31,3,7,13,2,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192","314XXX","Apelido192","Encerrado","Alerta","Busca e Apreensão","2019-10-19",1,2,4,1,10,40,2,2,14,4,2,10,14,3,2,9,9,0,8,4,13,3,2,10,0,10,10,102,59,1,1,10,18,1,4,10,4,28
"193","315XXX","Apelido193","Encerrado","Alerta","Busca e Apreensão","2017-03-15",3,3,1,3,14,35,0,7,20,4,0,3,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"194","316XXX","Apelido194","Encerrado","Alerta","Busca e Apreensão","2017-05-24",2,5,4,4,19,26,2,2,19,1,1,9,19,2,2,3,9,2,3,5,9,2,2,8,1,4,10,102,54,1,3,2,19,3,10,14,3,40
"195","317XXX","Apelido195","Encerrado","Alerta","Busca e Apreensão","2017-08-04",4,0,1,7,16,26,1,5,16,4,4,4,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196","318XXX","Apelido196","Encerrado","Alerta","Busca e Apreensão","2018-07-18",0,2,2,6,19,25,1,2,20,1,0,9,12,3,4,6,6,5,6,3,8,2,5,7,3,6,5,90,64,4,2,4,14,1,10,18,1,30
"197","319XXX","Apelido197","Encerrado","Alerta","Busca e Apreensão","2017-05-27",3,0,0,4,10,28,4,7,10,5,1,3,19,1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198","320XXX","Apelido198","Encerrado","Alerta","Busca e Apreensão","2019-09-27",2,0,0,4,12,23,0,4,18,0,2,6,12,2,5,4,4,5,5,5,9,5,6,8,3,2,2,90,62,0,0,10,20,4,2,10,0,30
"199","321XXX","Apelido199","Encerrado","Alerta","Busca e Apreensão","2018-02-02",2,3,3,6,15,33,2,3,16,3,1,2,14,3,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200","322XXX","Apelido200","Encerrado","Alerta","Busca e Apreensão","2019-07-31",2,2,3,2,20,31,5,4,15,4,1,3,16,3,4,8,2,0,10,8,17,0,6,7,1,8,7,98,52,5,2,8,19,2,8,19,3,35
"201","323XXX","Apelido201","Encerrado","Alerta","Busca e Apreensão","2019-01-19",4,2,4,3,20,36,3,3,18,5,0,5,19,1,1,8,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202","324XXX","Apelido202","Encerrado","Alerta","Busca e Apreensão","2019-07-20",4,2,1,5,20,37,1,5,17,2,1,5,19,0,1,2,3,1,9,4,9,2,10,7,0,8,5,87,51,5,2,2,11,2,5,16,1,24
"203","325XXX","Apelido203","Encerrado","Alerta","Busca e Apreensão","2019-11-27",4,5,3,6,15,35,1,1,19,0,2,5,18,2,2,9,9,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204","326XXX","Apelido204","Encerrado","Alerta","Busca e Apreensão","2017-02-12",3,4,1,7,14,33,4,5,18,2,5,7,16,5,0,3,7,1,10,8,12,3,10,10,5,9,7,102,57,4,4,5,20,0,9,12,1,24
"205","327XXX","Apelido205","Encerrado","Alerta","Busca e Apreensão","2017-09-01",3,2,2,4,17,35,1,2,16,1,3,10,10,5,1,8,9,2,10,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"206","328XXX","Apelido206","Encerrado","Alerta","Busca e Apreensão","2017-01-11",5,5,5,6,12,28,5,4,20,3,3,4,13,3,3,4,6,2,6,6,16,5,8,10,3,10,8,95,51,1,3,4,14,0,7,11,3,33
"207","329XXX","Apelido207","Encerrado","Alerta","Busca e Apreensão","2019-03-21",1,1,5,1,19,25,4,1,11,3,5,9,18,4,4,7,10,0,7,6,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208","330XXX","Apelido208","Encerrado","Alerta","Busca e Apreensão","2018-07-16",4,5,3,7,16,22,5,7,13,5,3,7,18,2,0,3,10,3,6,5,8,3,4,3,1,6,10,91,67,2,5,5,10,1,8,17,2,28
"209","331XXX","Apelido209","Encerrado","Alerta","Busca e Apreensão","2017-08-27",2,3,4,2,10,39,1,1,14,5,1,3,16,2,5,7,3,3,2,5,11,2,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"210","332XXX","Apelido210","Encerrado","Alerta","Busca e Apreensão","2019-04-25",4,2,3,6,16,24,1,7,20,1,0,3,18,4,1,3,3,4,7,7,14,1,6,4,3,4,6,85,63,3,1,4,10,2,3,15,0,40
"211","333XXX","Apelido211","Encerrado","Alerta","Busca e Apreensão","2018-02-05",3,2,1,7,17,26,4,2,11,0,3,6,11,2,3,3,2,5,3,5,17,0,4,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"212","334XXX","Apelido212","Encerrado","Alerta","Busca e Apreensão","2017-03-04",0,0,3,7,18,34,4,4,20,4,2,9,15,5,0,6,9,3,5,4,13,3,9,5,3,8,9,89,54,1,3,9,18,1,10,15,1,39
"213","335XXX","Apelido213","Encerrado","Alerta","Busca e Apreensão","2018-09-26",2,3,4,2,17,38,4,1,10,5,0,2,18,4,0,10,9,2,3,8,12,3,6,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0
"214","336XXX","Apelido214","Encerrado","Alerta","Busca e Apreensão","2018-11-30",2,4,5,6,15,29,5,4,11,4,3,2,12,1,2,9,5,2,7,9,16,3,9,10,0,10,3,86,69,0,5,2,10,3,5,15,2,31
"215","337XXX","Apelido215","Encerrado","Alerta","Busca e Apreensão","2019-07-18",3,5,1,1,10,30,1,7,15,1,5,10,10,1,2,9,8,2,5,6,11,0,8,9,2,3,7,0,0,0,0,0,0,0,0,0,0,22
"216","338XXX","Apelido216","Encerrado","Alerta","Busca e Apreensão","2019-09-28",3,0,4,6,14,40,4,5,15,4,4,3,16,5,0,10,6,4,8,2,9,5,4,4,0,6,5,101,65,5,4,4,17,2,10,19,4,34
"217","339XXX","Apelido217","Encerrado","Alerta","Busca e Apreensão","2019-08-23",2,2,5,7,14,24,2,6,15,0,2,3,10,1,3,9,2,1,3,3,9,4,5,10,0,9,8,96,0,0,0,0,0,0,0,0,0,0
"218","340XXX","Apelido218","Encerrado","Alerta","Busca e Apreensão","2019-12-01",1,4,4,2,10,30,2,4,13,3,5,6,15,3,3,4,3,0,6,7,14,1,7,3,5,2,8,96,63,3,5,10,14,2,3,11,3,26
"219","341XXX","Apelido219","Encerrado","Alerta","Busca e Apreensão","2018-10-22",4,0,3,5,15,32,5,1,18,2,0,3,16,1,4,3,4,4,10,4,18,5,7,8,3,7,5,86,59,0,0,0,0,0,0,0,0,0
"220","342XXX","Apelido220","Encerrado","Alerta","Busca e Apreensão","2017-06-19",5,1,4,4,20,32,0,1,20,1,1,7,12,0,2,8,10,5,4,10,18,4,10,5,2,6,2,89,65,0,5,10,18,4,5,10,0,33
"221","343XXX","Apelido221","Encerrado","Alerta","Busca e Apreensão","2019-02-17",2,5,3,6,18,34,0,4,11,5,2,3,15,5,4,2,3,3,6,2,11,1,4,4,1,3,9,93,60,0,0,0,0,0,0,0,0,0
"222","344XXX","Apelido222","Encerrado","Alerta","Busca e Apreensão","2017-03-11",3,5,0,6,20,22,3,3,17,5,2,4,18,0,3,10,4,0,3,8,18,0,5,9,2,6,4,103,52,5,1,10,15,2,8,12,0,32
"223","345XXX","Apelido223","Encerrado","Alerta","Busca e Apreensão","2018-12-20",4,1,2,7,14,27,0,7,15,3,1,3,20,0,1,10,2,4,6,9,9,0,9,5,1,5,5,97,53,1,3,0,0,0,0,0,0,0
"224","346XXX","Apelido224","Encerrado","Alerta","Busca e Apreensão","2019-06-30",0,5,0,7,17,32,1,6,20,0,2,8,11,2,1,4,9,0,10,7,18,2,10,2,3,3,2,103,67,0,4,3,17,3,9,10,0,31
"225","347XXX","Apelido225","Encerrado","Alerta","Busca e Apreensão","2019-09-26",0,2,3,7,14,22,0,6,10,0,3,8,11,2,5,4,7,1,6,3,17,4,10,4,5,8,2,104,50,3,3,7,0,0,0,0,0,0
